,0,1,2,source
5771,but as thou dwelt with thy disciples lord,familiar condescending patient free,come not to sojourn but abide with me,img2poems
5772,in vain thou strugglest to get free,i never will unloose my hold,art thou the man that died for me,img2poems
5773,the secret of thy love unfold,wrestling i will not let thee go,till i thy name thy nature know,img2poems
5774,what sudden blaze is round him poured,as though all heaven's refulgent hoard,in one rich glory shone,img2poems
5775,one moment and to earth he falls,what voice his inmost heart appalls,voice heard by him alone,img2poems
5776,know though at god's right hand i live,i feel each wound ye reckless give,to the least saint below,img2poems
5777,i in your care my brethren left,not willing ye should be bereft,of waiting on your lord,img2poems
5778,the meanest offering ye can make,a drop of water for love's sake,in heaven be sure is stored,img2poems
5779,nevermore from wind or tide,nevermore from billow's roll,wilt thou need thyself to hide,img2poems
5780,no that door is hard to open,hinges rusty latch is broken,bid him go,img2poems
5781,ah that door,why wilt thou vex me,coming ever to perplex me,img2poems
5782,did she open,doth she,will she,img2poems
5783,how oft my guardian angel gently cried,soul from thy casement look and thou shalt see,how he persists to knock and wait for thee,img2poems
5784,and o how often to that voice of sorrow,to-morrow we will open,i replied,img2poems
5785,ye nymphs of solyma,begin the song,to heavenly themes sublimer strains belong,img2poems
5786,ye heavens,from high the dewy nectar pour,and in soft silence shed the kindly shower,img2poems
5787,a god a god,the vocal hills reply,the rocks proclaim th' approaching deity,img2poems
5788,then palaces shall rise the joyful son,shall finish what his short-lived sire begun,their vines a shadow to their race shall yield,img2poems
5789,to the throne the trumpet sounding,through the sepulchres resounding,summons all with voice astounding,img2poems
5790,death and nature mazed are quaking,when the grave's long slumber breaking,man to judgment is awaking,img2poems
5791,on the written volume's pages,life is shown in all its stages,judgment-record of past ages,img2poems
5792,sits the judge the raised arraigning,darkest mysteries explaining,nothing unavenged remaining,img2poems
5793,what shall i then say unfriended,by no advocate attended,when the just are scarce defended,img2poems
5794,king of majesty tremendous,by thy saving grace defend us,fount of pity safety send us,img2poems
5795,holy jesus meek forbearing,for my sins the death-crown wearing,save me in that day despairing,img2poems
5796,worn and weary thou hast sought me,by thy cross and passion bought me,spare the hope thy labors brought me,img2poems
5797,righteous judge of retribution,give o give me absolution,ere the day of dissolution,img2poems
5798,thou to mary gav'st remission,heard'st the dying thief's petition,bad'st me hope in my contrition,img2poems
5799,in my prayers no worth discerning,yet on me thy favor turning,save me from that endless burning,img2poems
5800,when the wicked are rejected,and by bitter flames subjected,call me forth with thine elected,img2poems
5801,[footnote a: general dix's first translation of the dies irae was,made in  the revised version appeared in,bayard taylor wrote of the earlier one: i have,img2poems
5802,creator spirit by whose aid,the world's foundations first were laid,come visit every pious mind,img2poems
5803,come pour thy joys on human kind,from sin and sorrow set us free,and make thy temples worthy thee,img2poems
5804,our hearts with heavenly love inspire,come and thy sacred unction bring,to sanctify us while we sing,img2poems
5805,proceeding spirit our defence,who dost the gifts of tongues dispense,and crown'st thy gift with eloquence,img2poems
5806,come father of the poor to earth,come with thy gifts of precious worth,come light of all of mortal birth,img2poems
5807,come thou in whom our toil is sweet,our shadow in the noonday heat,before whom mourning flieth fleet,img2poems
5808,whate'er without thy aid is wrought,or skilful deed or wisest thought,god counts it vain and merely naught,img2poems
5809,thy will be ours in all our ways,o melt the frozen with thy rays,call home the lost in error's maze,img2poems
5810,and grant us lord who cry to thee,and hold the faith in unity,thy precious gifts of charity,img2poems
5811,that we may live in holiness,and find in death our happiness,and dwell with thee in lasting bliss,img2poems
5812,o purest fountain,we can see clear mirrored in thy streams,that god brings home the wanderers that god the lost redeems,img2poems
5813,in every hour while life is spared to thee,in crowds or solitudes in joy or care,thy thoughts should heavenward flee,img2poems
5814,oh hour of bliss,when the heart o'erflows,with rapture a mother only knows,img2poems
5815,awake awake,and gird up thy strength,to join that holy band at length,img2poems
5816,for who can tell when sleep thine eyes shall close,that earthly cares and woes,to thee may e'er return,img2poems
5817,has thy day been so bright,that in its flight,there is no trace of sorrow,img2poems
5818,thou fool,this very night,thy soul may wing its flight,img2poems
5819,that cannot be: since i am still possessed,of those effects for which i did the murder,my crown mine own ambition and my queen,img2poems
5820,art more engaged,help angels,make assay,img2poems
5821,king,my words fly up my thoughts remain below,words without thoughts never to heaven go,img2poems
5822,my name is satan rise,obey,mohammed's law awake and pray,img2poems
5823,loud laughed the fiend,you know me well,therefore my purpose i will tell,img2poems
5824,darkness is thinning shadows are retreating,morning and light are coming in their beauty,suppliant seek we with an earnest outcry,img2poems
5825,father and son and holy spirit give us,whom through the wide world celebrate forever,blessing and glory,img2poems
5826,o let the false dream fly,where our sick souls do lie,tossing continually,img2poems
5827,o god i cannot walk the way,the thorns the thirst the darkness,and bleeding feet and aching heart,img2poems
5828,i hear the songs and revels of the throng,they sneer upon my downcast face with scorn,yet o my god i must and shall walk with thee,img2poems
5829,it ploughs my soul with ploughshares flaming hot,yet give me truth,i must have truth o god,img2poems
5830,let this be something in thy sight,i have not in the slothful dark,forgot the vision and the height,img2poems
5831,oh,when shall all my wand'rings end,and all my steps to-thee-ward tend,img2poems
5832,ah,tear it thence and reign alone,the lord of every motion there,img2poems
5833,oh,hide this self from me that i,no more but christ in me may live,img2poems
5834,ah,no ne'er will i backward turn,thine wholly thine alone i am,img2poems
5835,oh,help that i may never move,from the blest footsteps of thy love,img2poems
5836,little hast thou bestead,save to perplex the head,and leave the spirit dead,img2poems
5837,from the recesses of a lowly spirit,our humble prayer ascends o father,hear it,img2poems
5838,who hast within thine equal heed,the rolling sun the ripening seed,the azure of the speedwell's eye,img2poems
5839,it is not wisdom to be only wise,and on the inward vision close the eyes,but it is wisdom to believe the heart,img2poems
5840,our knowledge is a torch of smoky pine,that lights the pathway but one step ahead,across a void of mystery and dread,img2poems
5841,bid then the tender light of faith to shine,by which alone the mortal heart is led,unto the thinking of the thought divine,img2poems
5842,faithe of the fathers olde,which makes me verye bolde,to fear no worldes distress,img2poems
5843,all weakness i,on him rely,who fixed the earth and spread the starry sky,img2poems
5844,if he is nigh,howe'er i die,'t will be the dawn of heavenly ecstasy,img2poems
5845,beholding thee,what bliss 't will be,with all thy saints to spend eternity,img2poems
5846,from sorrow sin and frailty free,beholding and resembling thee,o too transporting sight,img2poems
5847,haste,haste,my lord and soon transport me there,img2poems
5848,such a joy as none can move,such a love as none can part,such a heart as joys in love,img2poems
5849,unfading hope,when life's last embers burn,when soul to soul and dust to dust return,img2poems
5850,will the past then come again,rest and pleasure strife and pain,all the heaven and all the hell,img2poems
5851,he cried aloud and listened and then knocked,and uttered awful threatenings and complaints,and imprecations upon men and saints,img2poems
5852,half choked with rage king robert fiercely said,open: 'tis i the king,art thou afraid,img2poems
5853,to which king robert answered with a sneer,i am the king and come to claim my own,from an impostor who usurps my throne,img2poems
5854,but the straw rustled as he turned his head,there were the cap and bells beside his bed,around him rose the bare discolored walls,img2poems
5855,close by the steeds were champing in their stalls,and in the corner a revolting shape,shivering and chattering sat the wretched ape,img2poems
5856,do you not know me,does no voice within,answer my cry and say we are akin,img2poems
5857,gazed at the angel's countenance serene,the emperor laughing said it is strange sport,to keep a madman for thy fool at court,img2poems
5858,and through the chant a second melody,rose like the throbbing of a single string,i am an angel and thou art the king,img2poems
5859,king robert who was standing near the throne,lifted his eyes and lo,he was alone,img2poems
5860,arise he said my angels,a wail of woe and sin,steals through the gates of heaven and saddens all within,img2poems
5861,and lo,that tear of pity quenched the flame whereon it fell,and with the sunshine of that smile hope entered into hell,img2poems
5862,welcome my angels,ye have brought a holier joy to heaven,henceforth its sweetest song shall be the song of sin forgiven,img2poems
5863,if i enter heaven i may not pass,to where they be,though the wail of their bitter pain alas,img2poems
5864,and the white-robed saints with their crowns and palms,are good to see,and oh so grand are the sounding psalms,img2poems
5865,and bear its shame,and clasp to his heart for love of me,my guilt and blame,img2poems
5866,three angels bear the holy grail,with folded feet in stoles of white,on sleeping wings they sail,img2poems
5867,my spirit beats her mortal bars,as down dark tides the glory slides,and star-like mingles with the stars,img2poems
5868,i leave the plain i climb the height,no branchy thicket shelter yields,fly o'er waste fens and windy fields,img2poems
5869,then move the trees the copses nod,wings flutter voices hover clear,o just and faithful knight of god,img2poems
5870,o germ,o fount,o word of love,img2poems
5871,och,you and only you,soggarth aroon,img2poems
5872,now whispers relief to the bosom of pain,and the hair that was shining with diamond and pearl,is wet with the tears of the penitent girl,img2poems
5873,and is mine one,said abou,nay not so,img2poems
5874,with dovelike wings peace o'er yon village broods,the dizzying mill-wheel rests the anvil's din,hath ceased all all around is quietness,img2poems
5875,and when refreshed the soul once more puts on new life and power,oh let thine image,lord alone gild the first waking hour,img2poems
5876,shine out true light,to guide my way amid that deepening gloom,and rise o morning star the first that dayspring to illume,img2poems
5877,shall these glad things arise,to verify thy word,and bless our wandering eyes,img2poems
5878,when brightly shines the prosperous day,be thoughts of thee a cloudy screen,to temper the deceitful ray,img2poems
5879,o father,grant thy love divine,to make these mystic temples thine,img2poems
5880,which whyle thou lyvest shall nat let the want,that thou desyrest justly for thy syrvyce,and than after gyve the the joyes of paradyse,img2poems
5881,thou art not he who yesterday,sat here and begged beside the way,for he was blind,img2poems
5882,their words passed by him like the wind,which raves and howls but cannot shock,the hundred-fathom-rooted rock,img2poems
5883,not that amassing flowers,youth sighed which rose make ours,which lily leave and then as best recall,img2poems
5884,not that admiring stars,it yearned nor jove nor mars,mine be some figured flame which blends transcends them all,img2poems
5885,not for such hopes and fears,annulling youth's brief years,do i remonstrate folly wide the mark,img2poems
5886,rather i prize the doubt,low kinds exist without,finished and finite clods untroubled by a spark,img2poems
5887,rejoice we are allied,to that which doth provide,and not partake effect and not receive,img2poems
5888,a spark disturbs our clod,nearer we hold of god,who gives than of his tribes that take i must believe,img2poems
5889,then welcome each rebuff,that turns earth's smoothness rough,each sting that bids nor sit nor stand but go,img2poems
5890,what is he but a brute,whose flesh hath soul to suit,whose spirit works lest arms and legs want play,img2poems
5891,to man propose this test,thy body at its best,how far can that project thy soul on its lone way,img2poems
5892,as the bird wings and sings,let us cry all good things,are ours nor soul helps flesh more now than flesh helps soul,img2poems
5893,be there for once and all,severed great minds from small,announced to each his station in the past,img2poems
5894,what though the earlier grooves,which ran the laughing loves,around thy base no longer pause and press,img2poems
5895,what though about thy rim,scull-things in order grim,grow out in graver mood obey the sterner stress,img2poems
5896,religion relates to life and the life of religion is to do,good,swedenborg,img2poems
5897,have i not lord gone day by day,where thy poor children dwell,and carried help and gold and food,img2poems
5898,have i not watched and wept,she cried,did thy dear saints do more,img2poems
5899,consume and cleanse the sin,that lingers still within its depths,let heavenly love begin,img2poems
5900,so we inherit that sweet purity,for which we struggled failed and agonized,with widening retrospect that bred despair,img2poems
5901,this is life to come,which martyred men have made more glorious,for us who strive to follow,img2poems
5902,an infant crying in the night,an infant crying for the light,and with no language but a cry,img2poems
5903,look forth again it must be near the hour,dost thou not see the snowy mountain copes,and the green woods beneath them on the slopes,img2poems
5904,i did and going did a rainbow note,surely thought i,this is the lace of peace's coat,img2poems
5905,the weary day is at its zenith still,yet 't is as if beside some cool clear rill,through shadowy stillness rose an evening psalm,img2poems
5906,while inly rose the sense in swelling tide,of weakness insufficiency and sin,and fear and gloom and doubt in mighty flood rolled in,img2poems
5907,waters flowed over mine head then i said i am cut,off,lamentations iii,img2poems
5908,that with no middle flight intends to soar,above the aonian mount while it pursues,things unattempted yet in prose or rhyme,img2poems
5909,me who have touched and tasted yet both live,and life more perfect have attained than fate,meant me by venturing higher than my lot,img2poems
5910,god therefore cannot hurt ye and be just,not just not god: not feared then nor obeyed,your fear itself of death removes the fear,img2poems
5911,that ye shall be as gods since i as man,internal man is but proportion meet,i of brute human ye of human gods,img2poems
5912,so ye shall die perhaps by putting off,human to put on gods death to be wished,though threatened which no worse than this can bring,img2poems
5913,some natural tears they dropt but wiped them soon,the world was all before them where to choose,their place of rest and providence their guide,img2poems
5914,and the grave is not its goal,dust thou art to dust returnest,was not spoken of the soul,img2poems
5915,in the world's broad field of battle,in the bivouac of life,be not like dumb driven cattle,img2poems
5916,i slept and dreamed that life was beauty,i woke and found that life was duty,was then thy dream a shadowy lie,img2poems
5917,toil on sad heart courageously,and thou shalt find thy dream to be,a noonday light and truth to thee,img2poems
5918,serene will be our days and bright,and happy will our nature be,when love is an unerring light,img2poems
5919,i call thee: i myself commend,unto thy guidance from this hour,oh let my weakness have an end,img2poems
5920,let not soft slumber close my eyes,before i've recollected thrice,the train of action through the day,img2poems
5921,more pale to see,christ hung upon the cruel tree,and bore his father's wrath for me,img2poems
5922,beneath a rod,more heavy christ for my sake trod,the wine-press of the wrath of god,img2poems
5923,not so christ,whose mighty love of me sufficed,for strength salvation eucharist,img2poems
5924,if i bleed,his feet have bled: yea in my need,his heart once bled for mine indeed,img2poems
5925,so he was young,who for my sake in silence hung,upon the cross with passion wrung,img2poems
5926,he was more fair,than men who deigned for me to wear,a visage marred beyond compare,img2poems
5927,daily bread,all else is his who living dead,for me lacked where to lay his head,img2poems
5928,it was not so,to him whose cup did overflow,with mine unutterable woe,img2poems
5929,when christ would sup,he drained the dregs from out my cup,so how should i be lifted up,img2poems
5930,helpless dust,in thee o lord i put my trust,answer thou for me wise and just,img2poems
5931,witness my god i did,yet i am run again upon the score,my faults cannot be hid,img2poems
5932,'twill be but labor lost,my good cannot prevail against mine ill,the business will be crost,img2poems
5933,and when he is come he will reprove the world of sin and of,righteousness and of judgment,john xvi,img2poems
5934,behold satan hath desired to have you that he may sift you,as wheat,luke xxii,img2poems
5935,but noble souls through dust and heat,rise from disaster and defeat,the stronger,img2poems
5936,and conscious still of the divine,within them lie on earth supine,no longer,img2poems
5937,the sun comes up and the sun goes down,and day and night are the same as one,the year grows green and the year grows brown,img2poems
5938,the syrian heard rose up and braced,his huge limbs to the accustomed toil,my child see how the waters boil,img2poems
5939,no more arprobus swerved,but gained the farther bank and then,a voice cried hence christopheros be,img2poems
5940,for carrying thou hast carried me,the king of angels and of men,the master thou hast served,img2poems
5941,the merlin cannot ever soar on high,nor greedy greyhound still pursue the chase,the tender lark will find a time to fly,img2poems
5942,a soul as dauntless 'mid the storm,of daily life a heart as warm,and pure as breast e'er wore,img2poems
5943,who is thine enemy,the high,in station or in wealth the chief,img2poems
5944,a feather which thou mightest cast,aside as idly as the blast,the light leaf from the tree,img2poems
5945,death in the breast's consuming fires,to that high nature which aspires,forever till thus checked,img2poems
5946,these are thine enemies thy worst,they chain thee to thy lowly lot,thy labor and thy life accursed,img2poems
5947,thou art thyself thine enemy,the great,what better they than thou,img2poems
5948,with this and passions under ban,true faith and holy trust in god,thou art the peer of any man,img2poems
5949,or ragg'd to go,or show,a downcast look and sour,img2poems
5950,resort to sermons but to prayers most,praying's the end of preaching,o be drest,img2poems
5951,god calleth preaching folly,do not grudge,to pick out treasures from an earthen pot,img2poems
5952,two went to pray,o rather say,one went to brag the other to pray,img2poems
5953,the strangers' bread with bitter tears we steep,and when our weary eyes should sink to sleep,in the mute midnight we steal forth to weep,img2poems
5954,he passed again and lo,the well by summers never dried,had cooled ten thousand parching tongues and saved a life besides,img2poems
5955,it shone upon a genial mind and lo,its light became,a lamp of life a beacon ray a monitory flame,img2poems
5956,this would i be and would none other be,but a religious servant of my god,and know there is none other god but he,img2poems
5957,and willingly to suffer mercy's rod,joy in his grace and live but in his love,and seek my bliss but in the world above,img2poems
5958,and i would frame a kind of faithful prayer,for all estates within the state of grace,that careful love might never know despair,img2poems
5959,nor servile fear might faithful love deface,and this would i both day and night devise,to make my humble spirit's exercise,img2poems
5960,pray for me o my friend,but nathan cried,pray thou for me ben isaac,img2poems
5961,shall he the searcher of the hidden heart,in his eternal and divine decree,condemn the woman and forgive the man,img2poems
5962,whatever the sins that tripped them,god pity them,still i say,img2poems
5963,only hate from men,only remorse to whisper,of a life that might have been,img2poems
5964,and perhaps their unstained feet,were led by a gentle mother,toward the golden street,img2poems
5965,with earnest heart i ask,that your eyes may not look earthward,on the failure of your task,img2poems
5966,by the great god of heaven,it was not,my serious meaning it was ne'er resolve,img2poems
5967,or that the sun,could rising from the west draw his coach backward,take from the account of time so many minutes,img2poems
5968,held in the mouth that languid fever burns,his tasteless food he indolently turns,on alba's oldest stock his soul shall pine,img2poems
5969,or darkly shadowed forth in dream confused,while the damp brow betrays the inward storm,before him flits thy aggravated form,img2poems
5970,when muttered thunders shake the lurid sky,whose deadly paleness now the gloom conceals,and now the vivid flash anew reveals,img2poems
5971,they deem without an aim no thunders rolled,where'er the lightning strikes the flash is thought,judicial fire with heaven's high vengeance fraught,img2poems
5972,the queen looked up and said,o maiden if indeed you list to sing,sing and unbind my heart that i may weep,img2poems
5973,set on my soul an everlasting head,then am i like a palmer fit,to tread those blest paths which before i writ,img2poems
5974,let there be naught unfinished broken marred,complete thy purpose that we may become,thy perfect image thou our god and lord,img2poems
5975,that i may feel thee near,as one who for his weapon feels,in some nocturnal fear,img2poems
5976,i bless thee,lord for this kind check,to spirits over free,img2poems
5977,drops do pierce the stubborn flint,not by force but often falling,custome kills with feeble dint,img2poems
5978,more by use than strength prevailing,single sands have little weight,many make a drowning freight,img2poems
5979,dear secret greenness,nurst below,tempests and winds and winter nights,img2poems
5980,howe'er the north,does raise his certain lamp when tempests lower,he sees no more that perished light again,img2poems
5981,and gloomier grows the hour,which may not through the thick and crowding dark,restore that lost and loved one to her tower,img2poems
5982,and like the pale star shooting down the sky,look they not ever brightest when they fly,the desolate home they blessed,img2poems
5983,but now they desire a better country that is an,heavenly,hebrews xi,img2poems
5984,at even or at midnight or at the cock-crowing or in the,morning,mark xiii,img2poems
5985,whenever the sun shines brightly,i rise and say,surely it is the shining of his face,img2poems
5986,i saw a vision in my sleep,that gave my spirit strength to sweep,adown the gulf of time,img2poems
5987,i saw the last of human mould,that shall creation's death behold,as adam saw her prime,img2poems
5988,the sun's eye had a sickly glare,the skeletons of nations were,around that lonely man,img2poems
5989,some had expired in fight the brands,still rusted in their bony hands,in plague and famine some,img2poems
5990,earth's cities had no sound nor tread,and ships were drifting with the dead,to shores where all was dumb,img2poems
5991,my lips that speak thy dirge of death,their rounded gasp and gurgling breath,to see thou shalt not boast,img2poems
5992,the eclipse of nature spreads my pall,the majesty of darkness shall,receive my parting ghost,img2poems
5993,[a very aged man in an almshouse was asked what he was doing,now,he replied only waiting,img2poems
5994,blessed are they who are homesick for they shall come at,last to their father's house,heinrich stilling,img2poems
5995,nay if we love and honor we shall make,the absence brief by doing well our task,not for ourselves but for the dear one's sake,img2poems
5996,and at his coming only of him ask,approval of the work which most was done,not for ourselves but our beloved one,img2poems
5997,and far beyond the light of sun or star,four little ones of mine through that fair land,are walking hand in hand,img2poems
5998,stay then till sorrow dies,then hope and happy skies,are thine forever,img2poems
5999,me for celestial homes of glory born,why here o why so long,do ye behold an exile from on high,img2poems
6000,hark,they whisper angels say,sister spirit come away,img2poems
6001,see where mid work of his own hand he lies,fretted by sallies of his mother's kisses,with light upon him from his father's eyes,img2poems
6002,yet in my heart of hearts i feel your might,i only have relinquished one delight,to live beneath your more habitual sway,img2poems
6003,'tis the divinity that stirs within us,'tis heaven itself that points out a hereafter,and intimates eternity to man,img2poems
6004,so spake the wise old warrior,and all about him cried,paulinus' god hath conquered,img2poems
6005,who leads us with a gentle hand,thither oh thither,into the silent land,img2poems
6006,who in life's battle firm doth stand,shall bear hope's tender blossoms,into the silent land,img2poems
6007,let death between us be as naught,a dried and vanished stream,your joy be the reality,img2poems
6008,but lying darkly between,winding down through the night,is the silent unknown stream,img2poems
6009,that heart whose fondest throbs to me were given,my name on earth was ever in thy prayer,and wilt thou never utter it in heaven,img2poems
6010,the love that lived through all the stormy past,and meekly with my harsher nature bore,and deeper grew and tenderer to the last,img2poems
6011,yet though thou wear'st the glory of the sky,the same fair thoughtful brow and gentle eye,lovelier in heaven's sweet climate yet the same,img2poems
6012,the lover there drank her delicious breath,whose love has yielded since to change or death,the mother kissed her child whose days are o'er,img2poems
6013,they whom we loved and lost so long ago,dwell in those cities far from mortal woe,haunt those fresh woodlands whence sweet carollings soar,img2poems
6014,who would not go,with buoyant steps to gain that blessed portal,which opens to the land we long to know,img2poems
6015,where shall be satisfied the soul's immortal,where we shall drop the wearying and the woe,in resting so,img2poems
6016,fairer than all our spirit's fairest dreaming,eye hath not seen no heart can understand,the things prepared the cloudless radiance streaming,img2poems
6017,with this minute distinction emblems just,nature revolves but man advances both,eternal that a circle this a line,img2poems
6018,wide yawns the gap connection is no more,checked reason halts her next step wants support,striving to climb she tumbles from her scheme,img2poems
6019,festus,i would it were,this life's a mystery,img2poems
6020,we should count time by heart-throbs,he most lives,who thinks most feels the noblest acts the best,img2poems
6021,that round my pathway roar,do ye not know some spot,where mortals weep no more,img2poems
6022,my soul there is a country,afar beyond the stars,all skilful in the wars,img2poems
6023,how oft do they with golden pinions cleave,the flitting skyes like flying pursuivant,against fowle feendes to ayd us militant,img2poems
6024,mine eyes their vigils keep,for very love beholding,thy happy name they weep,img2poems
6025,o paradise of joy,where tears are ever banished,and smiles have no alloy,img2poems
6026,o lovelier far than gold,with laurel-girt battalions,and safe victorious fold,img2poems
6027,the lord shall be thy part,his only his forever,thou shalt be and thou art,img2poems
6028,there lust and lucre cannot dwell,there envy bears no sway,there is no hunger thirst nor heat,img2poems
6029,oh,that my sorrows had an end,thy joys that i might see,img2poems
6030,o god,that i jerusalem,with speed may go behold,img2poems
6031,for why,the pleasures there abound,which here cannot be told,img2poems
6032,our pleasures are but pain,our joys not worth the looking on,our sorrows aye remain,img2poems
6033,thy joys when shall i see,the king sitting upon his throne,and thy felicity,img2poems
6034,fetch me thy fold unto,that all thy angels may rejoice,while all thy will i do,img2poems
6035,through me you pass into the city of woe,through me you pass into eternal pain,through me among the people lost for aye,img2poems
6036,justice the founder of my fabric moved,to rear me was the task of power divine,supremest wisdom and primeval love,img2poems
6037,besides when i this point concluded thus,by praying no defect could be supplied,because the prayer had none access to god,img2poems
6038,'gainst the old adversary prove thou not,our virtue easily subdued but free,from his incitements and defeat his wiles,img2poems
6039,so day was sinking when the angel of god,appeared before us,joy was in his mien,img2poems
6040,the escorting spirits turned with gentle looks,toward me and the mantuan spake: my son,here torment thou may'st feel but canst not death,img2poems
6041,remember thee remember thee if i,safe e'en on geryon brought thee now i come,more near to god wilt thou not trust me now,img2poems
6042,into the fire before me then he walked,and statius who erewhile no little space,had parted us he prayed to come behind,img2poems
6043,what i have heard,is plain thou say'st: but wherefore god this way,for our redemption chose eludes my search,img2poems
6044,fix now thine eye intently as thou canst,on the everlasting counsel and explore,instructed by my words the dread abyss,img2poems
6045,and for his justice every method else,were all too scant had not the son of god,humbled himself to put on mortal flesh,img2poems
6046,with all the heart and with that tongue which speaks,the same in all an holocaust i made,to god befitting the new grace vouchsafed,img2poems
6047,here memory mocks the toil of genius,christ,beamed on that cross and pattern fails me now,img2poems
6048,the project gutenberg etext of the complete poetical works of percy bysshe,shelley by percy bysshe shelley,in our series by percy bysshe shelley,img2poems
6049,author: percy bysshe shelley,edited by thomas hutchinson m,a,img2poems
6050,variants derived from the bodleian manuscripts are marked b,in the,footnotes,img2poems
6051,se al seguir son tarda,forse avverra che 'l bel nome gentile,consacrero con questa stanca penna,img2poems
6052,[sections and of queen mab rehandled and published by shelley,in the alastor volume  see bibliographical list and the,editor's introductory note to queen mab,img2poems
6053,he seeks in vain for a prototype of his conception,blasted by his,disappointment he descends to an untimely grave,img2poems
6054,'the good die first,and those whose hearts are dry as summer dust,burn to the socket,img2poems
6055,there was a youth who as with toil and travel,had grown quite weak and gray before his time,nor any could the restless griefs unravel,img2poems
6056,for nought of ill his heart could understand,but pity and wild sorrow for the same,not his the thirst for glory or command,img2poems
6057,for none than he a purer heart could have,or that loved good more for itself alone,of nought in heaven or earth was he the slave,img2poems
6058,he had a gentle yet aspiring mind,just innocent with varied learning fed,and such a glorious consolation find,img2poems
6059,his soul had wedded wisdom and her dower,is love and justice clothed in which he sate,apart from men as in a lonely tower,img2poems
6060,those false opinions which the harsh rich use,to blind the world they famish for their pride,nor did he hold from any man his dues,img2poems
6061,liberal he was of soul and frank of heart,and to his many friends all loved him well,whate'er he knew or felt he would impart,img2poems
6062,and mortal hate their thousand voices rose,they passed like aimless arrows from his ear,nor did his heart or mind its portal close,img2poems
6063,through which his soul like vesper's serene beam,piercing the chasms of ever rising clouds,shone softly burning though his lips did seem,img2poems
6064,were driven within him by some secret power,which bade them blaze and live and roll afar,like lights and sounds from haunted tower to tower,img2poems
6065,a mirror found he knew not none could know,but on whoe'er might question him he turned,the light of his frank eyes as if to show,img2poems
6066,the cause of his disquietude or shook,with spasms of silent passion or turned pale,so that his friends soon rarely undertook,img2poems
6067,that memories of an antenatal life,made this where now he dwelt a penal hell,and others said that such mysterious grief,img2poems
6068,by mortal fear or supernatural awe,and others ''tis the shadow of a dream,which the veiled eye of memory never saw,img2poems
6069,men held with one another nor did he,like one who labours with a human woe,decline this talk: as if its theme might be,img2poems
6070,with soul-sustaining songs and sweet debates,of ancient lore there fed his lonely being,'the mind becomes that which it contemplates,img2poems
6071,was grass-grown and the unremembered tears,were dry in laian for their honoured chief,who fell in byzant pierced by moslem spears,img2poems
6072,and blighting hope who with the news of death,struck body and soul as with a mortal blight,she saw between the chestnuts far beneath,img2poems
6073,and athanase her child who must have been,then three years old sate opposite and gazed,in patient silence,img2poems
6074,thus through his age dark cold and tempest-tossed,shone truth upon zonoras and he filled,from fountains pure nigh overgrown and lost,img2poems
6075,the youth as shadows on a grassy hill,outrun the winds that chase them soon outran,his teacher and did teach with native skill,img2poems
6076,so in the caverns of the forest green,or on the rocks of echoing ocean hoar,zonoras and prince athanase were seen,img2poems
6077,which pours beyond the sea one steadfast beam,whilst all the constellations of the sky,seemed reeling through the storm,img2poems
6078,'and the far sighings of yon piny dale,made vocal by some wind we feel not here,i bear alone what nothing may avail,img2poems
6079,'is faithful now the story of the feast,and agathon and diotima seemed,from death and dark forgetfulness released,img2poems
6080,loves then the shade of his own soul half seen,in any mirror or the spring's young minions,the winged leaves amid the copses green,img2poems
6081,'twas at this season that prince athanase,passed the white alps those eagle-baffling mountains,slept in their shrouds of snow beside the ways,img2poems
6082,which clanged along the mountain's marble brow,warped into adamantine fretwork hung,and filled with frozen light the chasms below,img2poems
6083,catch thee and feed from their o'erflowing bowls,thousands who thirst for thine ambrosial dew,thou art the radiance which where ocean rolls,img2poems
6084,in spring which moves the unawakened forest,clothing with leaves its branches bare and bleak,thou floatest among men and aye implorest,img2poems
6085,trembling in drops on the discoloured skin,of those who love their kind and therefore perish,in ghastly torture a sweet medicine,img2poems
6086,her hair was brown her sphered eyes were brown,and in their dark and liquid moisture swam,like the dim orb of the eclipsed moon,img2poems
6087,notes,_ strange edition  deep edition,_ feed an bodleian manuscript feed on editions,img2poems
6088,rosalind,thou lead my sweet,and i will follow,img2poems
6089,first voice,but never bowed our snowy crest,as at the voice of thine unrest,img2poems
6090,the earth,how canst thou hear,who knowest not the language of the dead,img2poems
6091,prometheus,and what art thou,o melancholy voice,img2poems
6092,panthea,see how he lifts his mighty looks the heaven,darkens above,img2poems
6093,ione,he speaks,o shelter me,img2poems
6094,first fury,ha,i scent life,img2poems
6095,prometheus,i would not quit,this bleak ravine these unrepentant pains,img2poems
6096,mercury,alas,i wonder at yet pity thee,img2poems
6097,panthea,see where the child of heaven with winged feet,runs down the slanted sunlight of the dawn,img2poems
6098,prometheus,pain is my element as hate is thine,ye rend me now i care not,img2poems
6099,second fury,dost imagine,we will but laugh into thy lidless eyes,img2poems
6100,fifth fury,from the furnace white and hot,in which,img2poems
6101,panthea,alas,i looked forth twice but will no more,img2poems
6102,fury,blood thou canst see and fire and canst hear groans,worse things unheard unseen remain behind,img2poems
6103,prometheus,thy words are like a cloud of winged snakes,and yet i pity those they torture not,img2poems
6104,fury,thou pitiest them,i speak no more,img2poems
6105,panthea,alas,what sawest thou more,img2poems
