,0,1,2,haiku,lang
6420,a sign on the door---,our sun tanning machines,are solar,"a sign on the door---
our sun tanning machines
are solar",en
6422,lonely Spring Saturday---,I look at the graffiti,for a haiku,"lonely Spring Saturday---
I look at the graffiti
for a haiku",en
6424,Spring drizzle---,the sound of high heels,behind me,"Spring drizzle---
the sound of high heels
behind me",en
6426,clear day---,I view Citibank skyscraper,but where is the aura,"clear day---
I view Citibank skyscraper
but where is the aura",en
6428,waiting for a blizzard to come---,the bar tender ran out,of white rum,"waiting for a blizzard to come---
the bar tender ran out
of white rum",en
6430,she puts the pads,in her bra---,a half moon,"she puts the pads
in her bra---
a half moon",en
6432,East River nice day---,a used condom,on a pile of dirty snow,"East River nice day---
a used condom
on a pile of dirty snow",en
6434,morning fog---,the new graffiti is,minimal,"morning fog---
the new graffiti is
minimal",en
6436,late night drizzle---,she carries her belongings,in a kids cart,"late night drizzle---
she carries her belongings
in a kids cart",en
6438,the night watchman,almost closes his eyes---,waning crescent,"the night watchman
almost closes his eyes---
waning crescent",en
6440,windy night---,a smoker finds shelter,behind a garbage truck,"windy night---
a smoker finds shelter
behind a garbage truck",en
6442,it starts to snow---,the cat wants,the milk warmed,"it starts to snow---
the cat wants
the milk warmed",en
6444,blue sky---,dew drops on the cover,of the garbage can,"blue sky---
dew drops on the cover
of the garbage can",en
6448,a cockroach climbs the wall---,Charles Darwin is today,two hundred ,"a cockroach climbs the wall---
Charles Darwin is today
two hundred ",en
6450,January warms up---,my neighbor walks,in her underwear,"January warms up---
my neighbor walks
in her underwear",en
6452,sunset---,as I walk on thin ice,I remember her,"sunset---
as I walk on thin ice
I remember her",en
6454,dawn---,a Christmas tree,sticks out of the garbage,"dawn---
a Christmas tree
sticks out of the garbage",en
6456,the recession---,my neighbor puts,another lock on his door,"the recession---
my neighbor puts
another lock on his door",en
6458,cloudy January---,a white plastic bag,on a leafless tree,"cloudy January---
a white plastic bag
on a leafless tree",en
6460,chilly night---,I ask,if I can sleep with her,"chilly night---
I ask
if I can sleep with her",en
6462,sunset---,I turn off,the Christmas lights,"sunset---
I turn off
the Christmas lights",en
6464,snow in the forecast---,my neighbor's husky,wags his tail,"snow in the forecast---
my neighbor's husky
wags his tail",en
6466,fresh snow---,the graffiti looks ,dirtier ,"fresh snow---
the graffiti looks 
dirtier ",en
6468,dawn---,last year dust,on the Christmas ornaments,"dawn---
last year dust
on the Christmas ornaments",en
6470,first snow---,bride walks out,of a church,"first snow---
bride walks out
of a church",en
6472,back home,I wipe her lipstick off my cheek---,a half moon ,"back home
I wipe her lipstick off my cheek---
a half moon ",en
6474,cold morning---,a cockroach warms up,under my coffee cup ,"cold morning---
a cockroach warms up
under my coffee cup ",en
6476,first frost---,I feed,the aquarium fish,"first frost---
I feed
the aquarium fish",en
6478,dawn---,a drunk pisses,on today's newspaper ,"dawn---
a drunk pisses
on today's newspaper ",en
6480,gas station---,a GM car,needs a push,"gas station---
a GM car
needs a push",en
6482,late November farm---,a turkey looks,well fed,"late November farm---
a turkey looks
well fed",en
6484,her winter night gown,suddenly opens---,crescent moon ,"her winter night gown
suddenly opens---
crescent moon ",en
6486,Saturday night---,she wears her red high heels,Christmas nears,"Saturday night---
she wears her red high heels
Christmas nears",en
6488,the recession---,the sun sets behind,Citibank skyscraper,"the recession---
the sun sets behind
Citibank skyscraper",en
6490,my watch stopped---,I ask a beggar,what time it is,"my watch stopped---
I ask a beggar
what time it is",en
6492,morning haze---,Wall Street has,disappeared,"morning haze---
Wall Street has
disappeared",en
6494,Thanksgiving day---,walking past,empty houses ,"Thanksgiving day---
walking past
empty houses ",en
6496,Sunday morning fog---,my neighbor's wife,is naked,"Sunday morning fog---
my neighbor's wife
is naked",en
6498,Saturday night---,a carriage horse,flirts with another ,"Saturday night---
a carriage horse
flirts with another ",en
6500,dawn---,waiting for the light,at the end of the tunnel,"dawn---
waiting for the light
at the end of the tunnel",en
6502,Armistice Day---,I buy,more Euros,"Armistice Day---
I buy
more Euros",en
6504,the crunch of Autumn leaves---,as I pass,a dentures shop,"the crunch of Autumn leaves---
as I pass
a dentures shop",en
6506,November drizzle---,I turn off,the Zen music,"November drizzle---
I turn off
the Zen music",en
6508,daylight saving time ends---,the cat wakes me,an hour early,"daylight saving time ends---
the cat wakes me
an hour early",en
6510,black cat tries to,open a garbage bag---,moonless night ,"black cat tries to
open a garbage bag---
moonless night ",en
6512,cold morning---,the bus has no heat,she knits a sweater,"cold morning---
the bus has no heat
she knits a sweater",en
6514,October night---,who cares how stocks did,crescent moon,"October night---
who cares how stocks did
crescent moon",en
6516,windy night---,a witch walks home,Halloween nears,"windy night---
a witch walks home
Halloween nears",en
6518,as I walk,on wet Autumn leaves---,a poster of McCain,"as I walk
on wet Autumn leaves---
a poster of McCain",en
6520,blue sky---,no liquidity,at the banks ,"blue sky---
no liquidity
at the banks ",en
6522,clear October night---,the smell,of cinnamon,"clear October night---
the smell
of cinnamon",en
6524,very dry night---,a half moon,hardly moving,"very dry night---
a half moon
hardly moving",en
6526,Autumn courtyard---,as leaves fall,algae grows,"Autumn courtyard---
as leaves fall
algae grows",en
6528,September sunset---,a dead leaf,at my feet,"September sunset---
a dead leaf
at my feet",en
6532,I rush to buy,her birthday present---,crescent moon,"I rush to buy
her birthday present---
crescent moon",en
6534,Autumn downpour---,I stand under the canopy,of a house for sale,"Autumn downpour---
I stand under the canopy
of a house for sale",en
6536,evening fog---,I watch my neighbor,smoke his waterpipe,"evening fog---
I watch my neighbor
smoke his waterpipe",en
6538,blue sky,changes to grey---,Paul Newman dies,"blue sky
changes to grey---
Paul Newman dies",en
6540,Madison Square Park---,why are bankers,looking down,"Madison Square Park---
why are bankers
looking down",en
6542,September Eleven---,I remember to fix,lock of my backdoor ,"September Eleven---
I remember to fix
lock of my backdoor ",en
6544,a long weekend---,I ran out,of chocolate,"a long weekend---
I ran out
of chocolate",en
6548,hot August night---,she stands,staring out of her window,"hot August night---
she stands
staring out of her window",en
6550,dawn---,the smell of watermelon,from last night garbage,"dawn---
the smell of watermelon
from last night garbage",en
6552,early morning---,a yogi pisses,in a drinking glass,"early morning---
a yogi pisses
in a drinking glass",en
6554,dawn---,a Coca- Cola sign,turns off,"dawn---
a Coca- Cola sign
turns off",en
6556,August blue sky---,a Chinese dragon,fuming,"August blue sky---
a Chinese dragon
fuming",en
6558,Summer thunderstorms---,a surfer puts his board,on his head,"Summer thunderstorms---
a surfer puts his board
on his head",en
6560,my train is late---,I watch a cockroach,going home,"my train is late---
I watch a cockroach
going home",en
6562,dawn---,a line waits outside,the dialysis center,"dawn---
a line waits outside
the dialysis center",en
6564,morning---,smell coffee from house,of difficult neighbor,"morning---
smell coffee from house
of difficult neighbor",en
6566,Summer haze---,she wears,a beige bikini,"Summer haze---
she wears
a beige bikini",en
6568,morning haze---,she asks,who picked our lilacs,"morning haze---
she asks
who picked our lilacs",en
6570,Summer crowded subway---,the smell,of sardines,"Summer crowded subway---
the smell
of sardines",en
6572,she wears tight blue jeans,and hijab---,July Fourth,"she wears tight blue jeans
and hijab---
July Fourth",en
6574,July Fourth fireworks---,I stand next to,an Iraqi refugee ,"July Fourth fireworks---
I stand next to
an Iraqi refugee ",en
6576,sunrise---,a black woman in purple dress,glares at me ,"sunrise---
a black woman in purple dress
glares at me ",en
6578,a man at the beach yells---,I need oil to drive home,late June sunset,"a man at the beach yells---
I need oil to drive home
late June sunset",en
6580,sunrise---,heavy dust on my copy,of Paradise Lost,"sunrise---
heavy dust on my copy
of Paradise Lost",en
6582,June rain stopped---,a drunk waters some more,the lilacs,"June rain stopped---
a drunk waters some more
the lilacs",en
6584,morning haze---,an exhibitionist keeps,the curtains closed,"morning haze---
an exhibitionist keeps
the curtains closed",en
6586,sudden Spring showers---,her mascara,runs,"sudden Spring showers---
her mascara
runs",en
6588,tough bar---,she just returned,from Iraq,"tough bar---
she just returned
from Iraq",en
6589,low tide---,she's on seaweed,diet,"low tide---
she's on seaweed
diet",en
6591,Memorial Day---,waiting for George Bush,to leave office,"Memorial Day---
waiting for George Bush
to leave office",en
6593,Spring warms up---,tattoos,not just on the arms,"Spring warms up---
tattoos
not just on the arms",en
6595,hearing the call for prayer,as I pass a mosque---,Spring sunset,"hearing the call for prayer
as I pass a mosque---
Spring sunset",en
6597,wind swept cold rain---,truck makes stops,to deliver bottled water,"wind swept cold rain---
truck makes stops
to deliver bottled water",en
6599,her blond hair shines,over her business suit---,full moon at dusk,"her blond hair shines
over her business suit---
full moon at dusk",en
6600,the price of rice,goes up---,I start hoarding sake,"the price of rice
goes up---
I start hoarding sake",en
6602,foggy morning---,she wipes the dust,off her portrait,"foggy morning---
she wipes the dust
off her portrait",en
6604,blue sky---,my neighbor tells,another big fish story,"blue sky---
my neighbor tells
another big fish story",en
6606,Tax Day---,the sun shines,on a house for sale,"Tax Day---
the sun shines
on a house for sale",en
6608,blue sky---,her windows are all,fogged up,"blue sky---
her windows are all
fogged up",en
6610,new driver---,my bus arrives,on time,"new driver---
my bus arrives
on time",en
6612,foggy day---,the rest of this,is at present not available,"foggy day---
the rest of this
is at present not available",en
6614,sunny Spring day---,at the corner store,firemen buy charcoal,"sunny Spring day---
at the corner store
firemen buy charcoal",en
6616,dawn---,a pile of black trash bags,wait for pick up,"dawn---
a pile of black trash bags
wait for pick up",en
6618,Spring first day---,she wears,no bra,"Spring first day---
she wears
no bra",en
6620,full moon---,the barmaid kisses me,on the cheek,"full moon---
the barmaid kisses me
on the cheek",en
6624,windy day---,the mailman,arrives early,"windy day---
the mailman
arrives early",en
6626,holding the binoculars,in her hands---she has,more rings than Saturn,"holding the binoculars
in her hands---she has
more rings than Saturn",en
6628,rainy night---,the clicks of high heels,behind me,"rainy night---
the clicks of high heels
behind me",en
6630,for the new year ---,a temple nun,washes Buddha,"for the new year ---
a temple nun
washes Buddha",en
6632,a construction site,on a Winter day---,got sand in my shoes,"a construction site
on a Winter day---
got sand in my shoes",en
6634,alone on a pier,he plays the trombone --,Winter sunset,"alone on a pier
he plays the trombone --
Winter sunset",en
6636,blue sky---,white lilies stick out,of a garbage bag ,"blue sky---
white lilies stick out
of a garbage bag ",en
6638,sunrise---,new graffiti,in black and white,"sunrise---
new graffiti
in black and white",en
6640,new year's day---,there is rice,on the sidewalk,"new year's day---
there is rice
on the sidewalk",en
6642,strong wind---,an inflatable Santa,decides to fly back north,"strong wind---
an inflatable Santa
decides to fly back north",en
6644,Thai restaurant---,Christmas songs,only in the kitchen,"Thai restaurant---
Christmas songs
only in the kitchen",en
6646,gloomy day---,the Christmas lights,shine brighter,"gloomy day---
the Christmas lights
shine brighter",en
6648,morning fog---,the graffiti,looks subtle,"morning fog---
the graffiti
looks subtle",en
6650,walking in first snow storm---,no one,in a hurry,"walking in first snow storm---
no one
in a hurry",en
6652,Christmas shopping---,I forgot,her present size,"Christmas shopping---
I forgot
her present size",en
6654,wrong address---,the doorman wears,a diamond earing,"wrong address---
the doorman wears
a diamond earing",en
6656,waiting for dawn---,I put milk,in my coffee,"waiting for dawn---
I put milk
in my coffee",en
6658,she has a twinkle,in her eyes---,I order more oysters,"she has a twinkle
in her eyes---
I order more oysters",en
6660,morning haze---,I watch,high definition TV,"morning haze---
I watch
high definition TV",en
6662,Thanksgiving Day---,a rat awaits,arrival of the garbage,"Thanksgiving Day---
a rat awaits
arrival of the garbage",en
6664,Black Friday,starts at midnight---,a long line to buy bagels,"Black Friday
starts at midnight---
a long line to buy bagels",en
6666,Thanksgiving leftovers---,a harvest moon,wrapped with clouds,"Thanksgiving leftovers---
a harvest moon
wrapped with clouds",en
6668,geometry lesson---,day moon,next to a contrail,"geometry lesson---
day moon
next to a contrail",en
6670,Madison Square Park---,cold wind makes it,harder to day dream,"Madison Square Park---
cold wind makes it
harder to day dream",en
6672,putting diamonds,on the heads of rusty nails---,first frost,"putting diamonds
on the heads of rusty nails---
first frost",en
6674,Veterans Day---,smart people,start wars,"Veterans Day---
smart people
start wars",en
6676,late October warmth---,a witch,smiles at me,"late October warmth---
a witch
smiles at me",en
6678,dark clouds at sunset---,my neighbor,lights up his pumpkin,"dark clouds at sunset---
my neighbor
lights up his pumpkin",en
6680,the flu shot---,my last time,mother held my hand,"the flu shot---
my last time
mother held my hand",en
6682,Indian reservation---,too few home owners,for a subprime crisis,"Indian reservation---
too few home owners
for a subprime crisis",en
6684,sunset---,a balloon moves up,till it disappears,"sunset---
a balloon moves up
till it disappears",en
6686,crowded subway---,he gives his girl friend,a long kiss,"crowded subway---
he gives his girl friend
a long kiss",en
6688,overcast sky---,he hands out fliers,for a tanning salon,"overcast sky---
he hands out fliers
for a tanning salon",en
6690,morning stillness---,the cat watches,a butterfly,"morning stillness---
the cat watches
a butterfly",en
6692,October sunset---,have to go to the kitchen,window to view it,"October sunset---
have to go to the kitchen
window to view it",en
6698,October cold wind---,her yellow skirt,rises,"October cold wind---
her yellow skirt
rises",en
6700,going out she hides,her wedding band---,crescent moon,"going out she hides
her wedding band---
crescent moon",en
6702,dusk---,crescent moon amongst dark clouds,I light more candles,"dusk---
crescent moon amongst dark clouds
I light more candles",en
6704,a bride walks up,the steps of a church---,September blue sky,"a bride walks up
the steps of a church---
September blue sky",en
6706,morning haze---,her bubble bath,is ready,"morning haze---
her bubble bath
is ready",en
6708,Madison square Park---,I watch the moon,through an American Elm,"Madison square Park---
I watch the moon
through an American Elm",en
6710,dry late September day---,the sun shines,on her freckles,"dry late September day---
the sun shines
on her freckles",en
6712,blue sky---,outside a clinic,a nurse takes a smoke break,"blue sky---
outside a clinic
a nurse takes a smoke break",en
6714,Labor Day---,a migrant worker sells,American flags,"Labor Day---
a migrant worker sells
American flags",en
6716,hot afternoon---,she's lost in her book,I in her décolleté,"hot afternoon---
she's lost in her book
I in her décolleté",en
6718,hot September day---,homeless man stands,by ice cream truck,"hot September day---
homeless man stands
by ice cream truck",en
6720,a street artist,soon finished the skyline---,September fog,"a street artist
soon finished the skyline---
September fog",en
6722,cutting up red pepper,for the salad---,a drop of blood,"cutting up red pepper
for the salad---
a drop of blood",en
6724,she ties her grey hair,in a bun---,August blue sky,"she ties her grey hair
in a bun---
August blue sky",en
6726,eating chicken---,the wish-bone so small,I wish better weather,"eating chicken---
the wish-bone so small
I wish better weather",en
6728,the remnants,of a hurricane arrive---,and his mother-in-law,"the remnants
of a hurricane arrive---
and his mother-in-law",en
6730,arguing with my neighbor,across the fence---,a sparrow changes sides,"arguing with my neighbor
across the fence---
a sparrow changes sides",en
6732,happy hour---,she tells the bartender,she lost her wedding ring,"happy hour---
she tells the bartender
she lost her wedding ring",en
6734,dark August clouds---,looking up Hiroshima,on the map,"dark August clouds---
looking up Hiroshima
on the map",en
6736,morning fog---,listening,to minimalist music,"morning fog---
listening
to minimalist music",en
6738,Madison Square Park,live folk music---,no one wears red suspenders,"Madison Square Park
live folk music---
no one wears red suspenders",en
6739,Summer haze---,the nude beach,is empty,"Summer haze---
the nude beach
is empty",en
6741,July dawn---,the pier is littered,with beer bottles,"July dawn---
the pier is littered
with beer bottles",en
6743,old couple view,a distant lighthouse---,July moonless night,"old couple view
a distant lighthouse---
July moonless night",en
6745,Fourth of July---,another day,at Guantanamo Bay,"Fourth of July---
another day
at Guantanamo Bay",en
6747,Independence Day---,an illegal immigrant,serves me a meal,"Independence Day---
an illegal immigrant
serves me a meal",en
6749,the long days of Summer---,I start reading,Marcel Proust again,"the long days of Summer---
I start reading
Marcel Proust again",en
6751,hot day---,she writes a haiku,in minimal clothes,"hot day---
she writes a haiku
in minimal clothes",en
6753,cool breeze---,the cicadas,sing louder,"cool breeze---
the cicadas
sing louder",en
6755,Summer Solstice---,an air conditioner drips,on my neck,"Summer Solstice---
an air conditioner drips
on my neck",en
6757,end of the month---,no bread left over,to feed the sparrows,"end of the month---
no bread left over
to feed the sparrows",en
6759,Summer carnival---,a flat chested woman,enters the wrong rest room,"Summer carnival---
a flat chested woman
enters the wrong rest room",en
6761,grey day---,the mailman passes me,"with no ""have a nice day""","grey day---
the mailman passes me
with no ""have a nice day""",en
6763,Summer---,a tree's luscious green,covers the walk signal,"Summer---
a tree's luscious green
covers the walk signal",en
6764,overcast morning,the smell of steaming rice---,Summer,"overcast morning
the smell of steaming rice---
Summer",en
6765,late night---,fireflies rise up,in the cemetery,"late night---
fireflies rise up
in the cemetery",en
6767,brilliant blue sky---,I finally washed,my windows,"brilliant blue sky---
I finally washed
my windows",en
6769,overcast morning,the smell of steaming rice---,Summer,"overcast morning
the smell of steaming rice---
Summer",en
6771,hurricane season started---,my neighbor buys,a hybrid car,"hurricane season started---
my neighbor buys
a hybrid car",en
6773,a cool breeze---,finally,she says something,"a cool breeze---
finally
she says something",en
6775,an ice cream truck,stands on Fifth Avenue---,it tastes the same,"an ice cream truck
stands on Fifth Avenue---
it tastes the same",en
6777,listening to a sermon,on Saturday night---,no mention of hell,"listening to a sermon
on Saturday night---
no mention of hell",en
6779,the UN tower---,all the windows,have the same color,"the UN tower---
all the windows
have the same color",en
6781,Memorial Day---,starts Iraq's,scorching Summer,"Memorial Day---
starts Iraq's
scorching Summer",en
6783,morning haze---,she's still wearing,her chiffon nightgown,"morning haze---
she's still wearing
her chiffon nightgown",en
6785,a baby fly,has not found yet,the kitchen---Spring,"a baby fly
has not found yet
the kitchen---Spring",en
6789,Spring dark clouds---,my barber asks,if I want all the grey out,"Spring dark clouds---
my barber asks
if I want all the grey out",en
6791,warm Spring night---,her cleavage glistens,under a crescent moon,"warm Spring night---
her cleavage glistens
under a crescent moon",en
6793,blue sky---,a cleaning lady takes,the morning train home,"blue sky---
a cleaning lady takes
the morning train home",en
6795,sunrise---,the purple buds,in her flat garden,"sunrise---
the purple buds
in her flat garden",en
6797,cold and dark Spring day---,a dead squirrel,in a tree pit,"cold and dark Spring day---
a dead squirrel
in a tree pit",en
6799,morning rush---,the usual,black knights,"morning rush---
the usual
black knights",en
6801,downpours,on Tax Day---,but for me no refunds,"downpours
on Tax Day---
but for me no refunds",en
6803,heavy Spring rain---,in a bar the beer,runs like rivers,"heavy Spring rain---
in a bar the beer
runs like rivers",en
6805,morning rain---,umbrellas,go to work,"morning rain---
umbrellas
go to work",en
6807,wearing a white mask,because of the pollution---,a day moon,"wearing a white mask
because of the pollution---
a day moon",en
6809,Good Friday---,my neighbor prays,in a mosque,"Good Friday---
my neighbor prays
in a mosque",en
6811,gloomy day---,a blind man passes,a blooming cherry tree,"gloomy day---
a blind man passes
a blooming cherry tree",en
6813,warm Spring night---,a setting moon,takes its time,"warm Spring night---
a setting moon
takes its time",en
6815,all the snow melted---,she wears her,angora sweater,"all the snow melted---
she wears her
angora sweater",en
6817,early March---,new graffiti,shaped like a tulip,"early March---
new graffiti
shaped like a tulip",en
6819,a silent movie---,the audience,keeps on talking,"a silent movie---
the audience
keeps on talking",en
6821,morning rush---,light,at the end of the tunnel,"morning rush---
light
at the end of the tunnel",en
6823,foggy day---,I visit,the Turkish baths,"foggy day---
I visit
the Turkish baths",en
6825,a hawk flies high---,traffic crawls,on the highway,"a hawk flies high---
traffic crawls
on the highway",en
6827,the Ides of March---,a cat has passed,nine dogs,"the Ides of March---
a cat has passed
nine dogs",en
6829,morning stillness---,a crow finally,flies away,"morning stillness---
a crow finally
flies away",en
6831,Fat Tuesday---,an ice cream truck,parks on melting snow,"Fat Tuesday---
an ice cream truck
parks on melting snow",en
6833,Ash Wednesday---,no line,at the halal food cart,"Ash Wednesday---
no line
at the halal food cart",en
6835,she speaks English,with a Provence accent---,I order a glass of rosé,"she speaks English
with a Provence accent---
I order a glass of rosé",en
6837,on a fire hydrant,I tie my shoes---behind me,a dog waits its turn,"on a fire hydrant
I tie my shoes---behind me
a dog waits its turn",en
6839,winter morning---,too many men,wearing grey suits,"winter morning---
too many men
wearing grey suits",en
6841,cold night---I pass the statue,of a man wearing,a winter coat,"cold night---I pass the statue
of a man wearing
a winter coat",en
6843,February First---,a sun ray dances,on her cell phone,"February First---
a sun ray dances
on her cell phone",en
6845,extreme cold weather---,the stars shine,more brightly,"extreme cold weather---
the stars shine
more brightly",en
6847,very cold day---,a stuffed bear,stays under the bed covers,"very cold day---
a stuffed bear
stays under the bed covers",en
6849,the price of tortillas,goes up---,let them eat ethanol,"the price of tortillas
goes up---
let them eat ethanol",en
6851,soft spoken---,her jewelry and music,are heavy metal,"soft spoken---
her jewelry and music
are heavy metal",en
6852,blizzard---,too much powdered sugar,even for Valentine Day,"blizzard---
too much powdered sugar
even for Valentine Day",en
6854,gloomy afternoon---,a red haired woman,smiles at me,"gloomy afternoon---
a red haired woman
smiles at me",en
6856,snacking on,blue corn chips---,moonless night,"snacking on
blue corn chips---
moonless night",en
6858,at a general statue---,a dog salutes,by raising its leg,"at a general statue---
a dog salutes
by raising its leg",en
6860,cold Saturday night---,the barmaid puts sake,in my green tea,"cold Saturday night---
the barmaid puts sake
in my green tea",en
6862,beautiful winter dawn---,I ran out of,Jasmine tea,"beautiful winter dawn---
I ran out of
Jasmine tea",en
6864,strange faces are out,this saturday night---,the moon,"strange faces are out
this saturday night---
the moon",en
6866,early morning---,last night stardust,is on the lilacs,"early morning---
last night stardust
is on the lilacs",en
6868,morning haze---,I keep recounting,how many Santas,"morning haze---
I keep recounting
how many Santas",en
6870,morning commute---,the silence,of end of the year stress,"morning commute---
the silence
of end of the year stress",en
6872,overcast morning---,not enough sugar,in the rice pudding,"overcast morning---
not enough sugar
in the rice pudding",en
6874,morning rush---,a blonde,with no lipstick,"morning rush---
a blonde
with no lipstick",en
6876,Autumn sunset---,a birthday balloon,rises,"Autumn sunset---
a birthday balloon
rises",en
6878,Fifth Avenue station---,the sound of hoofs,on the pavement,"Fifth Avenue station---
the sound of hoofs
on the pavement",en
6880,grey morning---,I check out a new,tanning salon,"grey morning---
I check out a new
tanning salon",en
6882,a bartender,needs more olives---,the bridge lights turn on,"a bartender
needs more olives---
the bridge lights turn on",en
6884,a dog patiently,waits for his plate---,Thanksgiving Day,"a dog patiently
waits for his plate---
Thanksgiving Day",en
6886,Black Friday---,so many turkeys,at the sales,"Black Friday---
so many turkeys
at the sales",en
6888,the harvest is over,I hang the sickle---,crescent moon,"the harvest is over
I hang the sickle---
crescent moon",en
6890,Autumn morning---,neighborhood graffiti,has changed colors,"Autumn morning---
neighborhood graffiti
has changed colors",en
6892,hell---,a homeless man,wears a new garbage bag,"hell---
a homeless man
wears a new garbage bag",en
6894,overcast day---,I look at old pictures,in black and white,"overcast day---
I look at old pictures
in black and white",en
6896,my morning train,delayed---a seagull,flies above the tracks,"my morning train
delayed---a seagull
flies above the tracks",en
6898,Autumn night---,a homeless man,has a pumpkin,"Autumn night---
a homeless man
has a pumpkin",en
6900,she wears a purple blouse,at sunset---,I order espresso,"she wears a purple blouse
at sunset---
I order espresso",en
6902,October last Sunday---,lost an hour,resetting an old clock,"October last Sunday---
lost an hour
resetting an old clock",en
6979,sweet bitterness,of a dark chocolate-,winter time,"sweet bitterness
of a dark chocolate-
winter time",en
7099,bamboo flute,the scent,of green tea,"bamboo flute
the scent
of green tea",en
7101,at the end,of a long learning curve,a helmut of white hair,"at the end
of a long learning curve
a helmut of white hair",en
7103,nearly dusk...,desire,without a name,"nearly dusk...
desire
without a name",en
7105,undressed,by your words,october chill,"undressed
by your words
october chill",en
7107,fall morning ,extra sugar,in my tea,"fall morning 
extra sugar
in my tea",en
7109,fading bruises,birdsong,in the distance,"fading bruises
birdsong
in the distance",en
7111,a weekend,with my lover,...wildflowers,"a weekend
with my lover
...wildflowers",en
7113,after the rainstorm,another thought,about last night,"after the rainstorm
another thought
about last night",en
7115,waiting,for the meds to kick in,full moon,"waiting
for the meds to kick in
full moon",en
7117,everything,i’m not,winter rain,"everything
i’m not
winter rain",en
7119,war vet on the corner,holding a sign,…someone’s son,"war vet on the corner
holding a sign
…someone’s son",en
7121,fall morning,extra sugar,in my tea,"fall morning
extra sugar
in my tea",en
7123,two pills,past midnight,hidden moon,"two pills
past midnight
hidden moon",en
7125,autumn chill,last night’s mascara,around my eyes,"autumn chill
last night’s mascara
around my eyes",en
7127,divorce court,red heels,one last time,"divorce court
red heels
one last time",en
7129,laundry day,my new jeans,the color of midnight,"laundry day
my new jeans
the color of midnight",en
7133,another classmate...,the pile of flowers,says it all,"another classmate...
the pile of flowers
says it all",en
7135,weekend lover,a bird call,goes unanswered,"weekend lover
a bird call
goes unanswered",en
7137,what was it,you wanted to say,summer drizzle,"what was it
you wanted to say
summer drizzle",en
7139,the price of peaches ...,sunday's talk,with my dad,"the price of peaches ...
sunday's talk
with my dad",en
7141,after the rainstorm,another thought,about last night,"after the rainstorm
another thought
about last night",en
7143,windowless room,i try,to imagine blossoms,"windowless room
i try
to imagine blossoms",en
7145,spring morning,one egg left,in the fridge,"spring morning
one egg left
in the fridge",en
7147,memory care unit,snowflakes melting,on the window,"memory care unit
snowflakes melting
on the window",en
7149,internet dating,a butterfly flitting,from rose to rose,"internet dating
a butterfly flitting
from rose to rose",en
7151,waiting room,ivy growing,on the outside wall,"waiting room
ivy growing
on the outside wall",en
7152,evening star—,fold upon fold,the quiet blue hills,"evening star—
fold upon fold
the quiet blue hills",en
7154,spring thaw,everything drips,including my nose,"spring thaw
everything drips
including my nose",en
7156,autumn chill--,time for a hot bowl,of chili,"autumn chill--
time for a hot bowl
of chili",en
7158,frozen pond--,the moon trapped,in a crack,"frozen pond--
the moon trapped
in a crack",en
7160,November night--,the smell of burning leaves,and marshmallows,"November night--
the smell of burning leaves
and marshmallows",en
7162,high summer--,the sounds and smells,of a traveling fair,"high summer--
the sounds and smells
of a traveling fair",en
7164,gentle breaths--,the window's,frost etchings,"gentle breaths--
the window's
frost etchings",en
7166,quiet lake--,the only sound,a jumping fish,"quiet lake--
the only sound
a jumping fish",en
7168,meteor shower--,in the cold our gasps,become visible,"meteor shower--
in the cold our gasps
become visible",en
7170,failing light--,the ash tree,heavy with  birds,"failing light--
the ash tree
heavy with  birds",en
7172,fall equinox--,another day,in the  90's,"fall equinox--
another day
in the  90's",en
7174,evening   news--,the burden of  snow,on my son's   balcony,"evening   news--
the burden of  snow
on my son's   balcony",en
7175,under the snowpack,the garden  buddha,still keeps his smile,"under the snowpack
the garden  buddha
still keeps his smile",en
7177,uninvited guest--,a fly zips  through,the opened door,"uninvited guest--
a fly zips  through
the opened door",en
7178,stoplight,each of us tapping,to our own beat,"stoplight
each of us tapping
to our own beat",en
7180,Mass over--,the rush to be first,out of the lot,"Mass over--
the rush to be first
out of the lot",en
7182,5am--,bird songs lost,in air conditioner noise,"5am--
bird songs lost
in air conditioner noise",en
7186,at the feeder,more birds than room,the smell of snow,"at the feeder
more birds than room
the smell of snow",en
7188,midwinter vanished,in a bite of homemade,strawberry preserves,"midwinter vanished
in a bite of homemade
strawberry preserves",en
7190,while washing spinach,how nice to find,a haiku there,"while washing spinach
how nice to find
a haiku there",en
7192,covid 19,...pish-the-bed puffbaws,bidin a braith,"covid 19
...pish-the-bed puffbaws
bidin a braith",en
7193,covid 19,...dandelion puffballs,awaiting a breath ,"covid 19
...dandelion puffballs
awaiting a breath ",en
7194,fir a new granbairn,she lichts a caunle,...peerie lowe souchin,"fir a new granbairn
she lichts a caunle
...peerie lowe souchin",en
7195,for a new grandchild,she lights a candle,...tiny flame breathing ,"for a new grandchild
she lights a candle
...tiny flame breathing ",en
7196,rin-ower pheasie,...tasht,wattergaw,"rin-ower pheasie
...tasht
wattergaw",en
7197,run-over pheasant,...crushed,rainbow ,"run-over pheasant
...crushed
rainbow ",en
7198,maitin granfaither -,the wye,he yince maitit me,"maitin granfaither -
the wye
he yince maitit me",en
7199,feeding grandfather -,the way,he once fed me ,"feeding grandfather -
the way
he once fed me ",en
7200,dudoon,aye wairmth,in her rosary beads,"dudoon
aye wairmth
in her rosary beads",en
