,0,1,2,source
3124,"Above, in the","firelight, winks the",coronet of tarnished gold.,gutenberg
3125,The knight shivers in,"his coat of fur, and holds out his hands",to the withering flame.,gutenberg
3126,She is always,"the same, a sweet",coquette.,gutenberg
3127,He,will wait for,her.,gutenberg
3128,How the log,hisses,and drips!,gutenberg
3129,How warm and,satisfying will,be her lips!,gutenberg
3130,Is it guilt to free a lady,"from her palsied lord, absent and fighting,",terribly abhorred?,gutenberg
3131,He stirs a,booted heel and kicks,a rolling coal.,gutenberg
3132,His spur,clinks on the,hearth.,gutenberg
3133,"Overhead,",the rain hammers,and chinks.,gutenberg
3134,She,is so pure,and whole.,gutenberg
3135,Only because he has her soul will,"she resign herself to him, for where the soul has gone,",the body must be given as a sign.,gutenberg
3136,He takes her by,the divine right of,the only lover.,gutenberg
3137,He has sworn,"to fight her lord, and wed",her after.,gutenberg
3138,"Should he be overborne,","she will die adoring him, forlorn,",shriven by her great love.,gutenberg
3139,"Above, the",coronet winks in,the darkness.,gutenberg
3140,Drip--hiss--fall,the,raindrops.,gutenberg
3141,The arras blows,"out from the wall, and a door bangs",in a far-off hall.,gutenberg
3142,The,candles,swale.,gutenberg
3143,In the gale,the moat below plunges,and spatters.,gutenberg
3144,Will the lady,lose courage and not,come?,gutenberg
3145,The rain claps,on a loosened,rafter.,gutenberg
3146,Is,that,laughter?,gutenberg
3147,The room,is filled with lisps and,whispers.,gutenberg
3148,One candle,drowns and the other,gutters.,gutenberg
3149,Is that the rain which pads,"and patters, is it the wind through the winding",entries which chatters?,gutenberg
3150,The state bed is very,cold and he is,alone.,gutenberg
3151,How far from,the wall the arras,is blown!,gutenberg
3152,It is no,storm which makes these little,chuckling sounds.,gutenberg
3153,By the Great Wounds of Holy,"Jesus, it is his dear lady, kissing",and clasping someone!,gutenberg
3154,Through the sobbing storm,he hears her love take form and,flutter out in words.,gutenberg
3155,They prick into his ears and stun,"his desire, which lies within him,","hard and dead, like frozen fire.",gutenberg
3156,And the,little noise,never stops.,gutenberg
3157,Drip--hiss--the,rain drops.,,gutenberg
3158,He tears down the arras,from before an inner chamber's,bolted door.,gutenberg
3159,II The state,bed shivers in the,watery dawn.,gutenberg
3160,Drip--hiss--fall,the,raindrops.,gutenberg
3161,For,the storm never,stops.,gutenberg
3162,On the velvet coverlet,"lie two bodies, stripped and fair in","the cold, grey air.",gutenberg
3163,"Drip--hiss--fall the blood-drops, for",the bleeding never,stops.,gutenberg
3164,At each side of,"the bed, on the","floor, is a head.",gutenberg
3165,"A man's on this side, a woman's","on that, and the red blood oozes",along the rush mat.,gutenberg
3166,A wisp of paper is,twisted carefully into the strands,of the dead man's hair.,gutenberg
3167,"It says, ""My Lord:  Your",wife's paramour has paid with,his life for the high favour.,gutenberg
3168,""" Through the lady's",silver fillet is wound,another paper.,gutenberg
3169,"It reads, ""Most noble",Lord:  Your wife's misdeeds are as a double-stranded,necklace of beads.,gutenberg
3170,But I have engaged,"that, on your return, she",shall welcome you here.,gutenberg
3171,She will not spurn your,"love as before, you have still",the best part of her.,gutenberg
3172,"Her blood was red, her","body white, they will both be",here for your delight.,gutenberg
3173,The soul inside was a,"lump of dirt, I have rid you of that with",a spurt of my sword point.,gutenberg
3174,Good luck,to your,pleasure.,gutenberg
3175,She will be,"quite complaisant,","my friend, I wager.",gutenberg
3176,""" The end was",a splashed flourish,of ink.,gutenberg
3177,In the passage is heard,"the clink of armour, the tread",of a heavy man.,gutenberg
3178,"The door bursts open and standing there,",his thin hair wavering in the glare of steely,"daylight, is my Lord of Clair.",gutenberg
3179,Over the,yawning chimney,hangs the fog.,gutenberg
3180,Overhead hammers,and chinks the rain which never,stops.,gutenberg
3181,The velvet coverlet,"is sodden and wet, yet the",roof beams are tight.,gutenberg
3182,"Overhead, the",coronet gleams with its blackened,"gold, winking and blinking.",gutenberg
3183,Among the rushes,three corpses are,growing cold.,gutenberg
3184,III In the castle church you may see,"them stand, Two sumptuous tombs on either hand Of the choir, my","Lord's and my Lady's, grand In sculptured filigrees.",gutenberg
3185,"And where the transepts of the church expand,","A crusader, come from the Holy Land, Lies with",crossed legs and embroidered band.,gutenberg
3186,The page's,name became a brand,For shame.,gutenberg
3187,He was buried in crawling,"sand, After having been burnt by",royal command.,gutenberg
3188,The Bell,in the convent tower,swung.,gutenberg
3189,High overhead the,"great sun hung, A navel",for the curving sky.,gutenberg
3190,The air,was a blue,clarity.,gutenberg
3191,Swallows,"flew, And",a cock crew.,gutenberg
3192,The iron clanging,"sank through the light air, Rustled",over with blowing branches.,gutenberg
3193,"A flare Of spotted green, and a",snake had gone Into the bed where the snowdrops shone,"In green new-started, Their white bells parted.",gutenberg
3194,"Two by two, in a long","brown line, The nuns were walking to breathe",the fine Bright April air.,gutenberg
3195,They must go in,soon And work at their tasks all,the afternoon.,gutenberg
3196,But,this time,is theirs!,gutenberg
3197,They walk,in,pairs.,gutenberg
3198,"First comes the Abbess, preoccupied","And slow, as a woman often tried, With",her temper in bond.,gutenberg
3199,Then the,oldest,nun.,gutenberg
3200,"Then younger and younger,",until the last one Has a laugh on,"her lips, And fairly skips.",gutenberg
3201,They wind about the,gravel walks And all the long,line buzzes and talks.,gutenberg
3202,They step in time,"to the ringing bell, With scarcely",a shadow.,gutenberg
3203,The sun is well In,the core of a sky,Domed silverly.,gutenberg
3204,Sister Marguerite,"said:  ""The pears will",soon bud.,gutenberg
3205,""" Sister Angelique",said she must get her spud And free the,earth round the jasmine roots.,gutenberg
3206,Sister,Veronique said:," ""Oh, look at those shoots!",gutenberg
3207,There's a,"crocus up, With",a purple cup.,gutenberg
3208,""" But Sister Clotilde said nothing","at all, She looked up and down the old grey wall To",see if a lizard were basking there.,gutenberg
3209,She looked across the,garden to where A sycamore,Flanked the garden door.,gutenberg
3210,"She was restless, although her little feet","danced, And quite unsatisfied, for it chanced Her morning's work",had hung in her mind And would not take form.,gutenberg
3211,She could not find The,beautifulness For,the Virgin's dress.,gutenberg
3212,Should it be,"of pink, or",damasked blue?,gutenberg
3213,Or perhaps,lilac with gold,shotted through?,gutenberg
3214,Should it be banded,"with yellow and white Roses,",or sparked like a frosty night?,gutenberg
3215,Or a crimson,sheen Over some sort,of green?,gutenberg
3216,But Clotilde's eyes saw nothing new In,"all the garden, no single hue So lovely or so",marvellous That its use would not seem impious.,gutenberg
3217,So on she,"walked, And the others",talked.,gutenberg
3218,Sister Elisabeth edged away From what her,"companion had to say, For Sister Marthe saw the world in little, She",weighed every grain and recorded each tittle.,gutenberg
3219,She did plain,stitching And worked,in the kitchen.,gutenberg
3220,"""Sister Radegonde","knows the apples won't last, I",told her so this Friday past.,gutenberg
3221,I must speak,to her before,Compline.,gutenberg
3222,""" Her words were like",dust motes in slanting,sunshine.,gutenberg
3223,The other,"nun sighed, With her pleasure",quite dried.,gutenberg
3224,Suddenly Sister,"Berthe cried out: ""The snowdrops",are blooming!,gutenberg
3225,"""  They",turned,about.,gutenberg
3226,The little white cups bent over the,"ground, And in among the light stems wound A crested","snake, With his eyes awake.",gutenberg
3227,His crest was amber,"glittered with blue, And opaque",so the sun came shining through.,gutenberg
3228,It seemed a,crown with,fiery points.,gutenberg
3229,When he quivered all down,"his scaly joints, From every",slot The sparkles shot.,gutenberg
3230,The nuns huddled,"tightly together, fear Catching",their senses.,gutenberg
3231,But Clotilde must peer,"More closely at the beautiful snake,",She seemed entranced and eased.,gutenberg
3232,Could she make,"Colours so rare,",The dress were there.,gutenberg
3233,The Abbess,shook off her,lethargy.,gutenberg
3234,"""Sisters,",we will walk,"on,"" said she.",gutenberg
3235,Sidling away from the,"snowdrop bed, The line curved forwards,",the Abbess ahead.,gutenberg
3236,Only Clotilde,Was the last to,yield.,gutenberg
3237,When the recreation,hour was done Each went,in to her task.,gutenberg
3238,"Alone In the library, with","its great north light, Clotilde wrought at an exquisite",Wreath of flowers For her Book of Hours.,gutenberg
3239,They framed the,picture she had,"made, Half-delighted and half-afraid.",gutenberg
3240,In a courtyard with a lozenged,"floor The Virgin watched, and through the arched door The angel",came Like a springing flame.,gutenberg
3241,His wings were dipped in violet,"fire, His limbs were strung to",holy desire.,gutenberg
3242,He lowered his head and,"passed under the arch, And the air",seemed beating a solemn march.,gutenberg
3243,The Virgin waited,With eyes,dilated.,gutenberg
3244,Her face was quiet,"and innocent, And beautiful",with her strange assent.,gutenberg
3245,A silver thread,about her head Her halo,was poised.,gutenberg
3246,But in the stead Of,"her gown, there remained The","vellum, unstained.",gutenberg
3247,Clotilde painted the flowers,"patiently, Lingering over",each tint and dye.,gutenberg
3248,"She could spend great pains,","now she had seen That curious,",unimagined green.,gutenberg
3249,A colour,so strange It had seemed,to change.,gutenberg
3250,She thought it,had altered while,she gazed.,gutenberg
3251,At first it had been simple green; then glazed All,"over with twisting flames, each spot A molten colour, trembling","and hot, And every eye Seemed to liquefy.",gutenberg
3252,She had made,"a plan, and her",spirits danced.,gutenberg
3253,"After all, she had only glanced At that","wonderful snake, and she must know Just what hues made the creature",throw Those splashes and sprays Of prismed rays.,gutenberg
3254,When evening prayers,"were sung and said, The nuns lit",their tapers and went to bed.,gutenberg
3255,And soon in the convent there was no,"light, For the moon did not rise until late that night,",Only the shine Of the lamp at the shrine.,gutenberg
3256,Clotilde lay,still in her trembling,sheets.,gutenberg
3257,Her heart,shook her body,with its beats.,gutenberg
3258,She could not see till the moon should,"rise, So she whispered prayers and kept her eyes",On the window-square Till light should be there.,gutenberg
3259,The faintest shadow,of a branch Fell,on the floor.,gutenberg
3260,"Clotilde, grown staunch With solemn","purpose, softly rose And fluttered down between",the rows Of sleeping nuns.,gutenberg
3261,She,almost,runs.,gutenberg
3262,She must go out through the little,side door Lest the nuns who were always praying before,The Virgin's altar should hear her pass.,gutenberg
3263,"She pushed the bolts, and",over the grass The red moon's,brim Mounted its rim.,gutenberg
3264,Her shadow crept up the convent wall As,"she swiftly left it, over all The garden lay the level glow Of","a moon coming up, very big and slow.",gutenberg
3265,The,gravel,glistened.,gutenberg
3266,She stopped,and,listened.,gutenberg
3267,"It was still, and",the moonlight was,getting clearer.,gutenberg
3268,"She laughed a little,",but she felt queerer Than ever,before.,gutenberg
3269,The snowdrop bed,Was reached and she bent,down her head.,gutenberg
3270,On the striped,ground The snake,was wound.,gutenberg
3271,For a moment Clotilde,"paused in alarm, Then she rolled up",her sleeve and stretched out her arm.,gutenberg
3272,She thought she,"heard steps, she must",be quick.,gutenberg
3273,She darted her hand,"out, and seized the thick Wriggling","slime, Only just in time.",gutenberg
3274,The old gardener came muttering,"down the path, And his shadow fell like a broad, black swath,",And covered Clotilde and the angry snake.,gutenberg
3275,"He bit her,",but what difference,did that make!,gutenberg
3276,The Virgin,should dress In his,loveliness.,gutenberg
3277,The gardener was covering,"his new-set plants For the night was chilly, and nothing daunts",Your lover of growing things.,gutenberg
3278,He spied Something to do,"and turned aside, And the moonlight","streamed On Clotilde, and gleamed.",gutenberg
3279,His business,finished the gardener,rose.,gutenberg
3280,"He shook and swore, for the moonlight shows","A girl with a fire-tongued serpent, she Grasping him,","laughing, while quietly Her eyes are weeping.",gutenberg
3281,Is,he,sleeping?,gutenberg
3282,"He thinks it is some holy vision, Brushes that aside","and with decision Jumps--and hits the snake with his stick, Crushes his spine,","and then with quick, Urgent command Takes her hand.",gutenberg
3283,The gardener sucks the poison,"and spits, Cursing and praying as befits A poor",old man half out of his wits.,gutenberg
3284,"""Whatever possessed you, Sister,",it's Hatched of a devil And,very evil.,gutenberg
3285,It's one of them,horrid basilisks,You read about.,gutenberg
3286,They say a man risks,"His life to touch it, but I guess I've",sucked it Out by now.,gutenberg
3287,Lucky I,chucked it Away,from you.,gutenberg
3288,"He is dead now, but his","colours won't fade At once, and by noon I",shall have made The Virgin's robe.,gutenberg
3289,"Oh, Francois, see",How kindly the moon shines,down on me!,gutenberg
3290,I can't die,"yet, For the",task was set.,gutenberg
3291,""" ""You won't die now, for I've","sucked it away,"" Grumbled old","Francois, ""so have your play.",gutenberg
3292,If the Virgin is set on,"snake's colours so strong,--"" ""Francois, don't say","things like that, it is wrong.",gutenberg
3293,""" So Clotilde",vented,Her creed.,gutenberg
3294,"""He can't do","no more harm, Sister,""",said he.,gutenberg
3295,"""Paint as",much as,you like.,gutenberg
3296,"""  And gingerly",He picked up the snake,with his stick.,gutenberg
3297,"Clotilde Thanked him, and begged that","he would shield Her secret, though itching",To talk in the kitchen.,gutenberg
3298,At dawn's first,saffron-spired warning Clotilde,was up.,gutenberg
3299,"And all that morning, Except when she went","to the chapel to pray, She painted, and when the April","day Was hot with sun, Clotilde had done.",gutenberg
3300,"She drooped, though her heart beat loud At","the beauty before her, and her spirit bowed To the",Virgin her finely-touched thought had made.,gutenberg
3301,"A lady,","in excellence arrayed,",And wonder-souled.,gutenberg
3302,Christ's,Blessed Mould!,,gutenberg
3303,From long fasting Clotilde felt weary,"and faint, But her eyes were starred like those of a saint Enmeshed",in Heaven's beatitude.,gutenberg
3304,A sudden clamour,hurled its rude Force to break,Her vision awake.,gutenberg
3305,The door nearly leapt,"from its hinges, pushed By the",multitude of nuns.,gutenberg
3306,"They hushed When they saw Clotilde,","in perfect quiet, Smiling, a little",perplexed at the riot.,gutenberg
3307,And all,the hive Buzzed,"""She's alive!",gutenberg
3308,""" Old Francois",had told.,,gutenberg
3309,He had found the strain Of,"silence too great, and preferred the pain",Of a conscience outraged.,gutenberg
3310,"The news had spread,",And all were convinced Clotilde,must be dead.,gutenberg
3311,"For Francois, to","spite them, Had not seen",fit to right them.,gutenberg
3312,How could we have,guessed Our convent,so blessed!,gutenberg
3313,To,have,you die!,gutenberg
3314,"And I, who am","A hollow, living shell, the",grave Is empty of me.,gutenberg
3315,"Holy Mary, I","crave To be taken, Dear Mother, Instead",of this other.,gutenberg
3316,""" She dropped on her knees and","silently prayed, With anguished hands and",tears delayed To a painful slowness.,gutenberg
3317,The minutes,drew To,fractions.,gutenberg
3318,Then the west wind,"blew The sound of a bell, On",a gusty swell.,gutenberg
3319,It came skipping over the slates of,"the roof, And the bright bell-notes seemed a reproof To","grief, in the eye of so fair a day.",gutenberg
3320,"The Abbess,","comforted, ceased",to pray.,gutenberg
3321,And the sun lit,the flowers In Clotilde's,Book of Hours.,gutenberg
3322,It glistened the green of the Virgin's dress And,"made the red spots, in a flushed excess, Pulse and start; and the violet",wings Of the angel were colour which shines and sings.,gutenberg
3323,The book seemed,a choir Of rainbow,fire.,gutenberg
3324,"The Abbess crossed herself, and each nun Did","the same, then one by one, They filed to the chapel, that incensed prayers",Might plead for the life of this sister of theirs.,gutenberg
3325,"Clotilde,",the,Inspired!,gutenberg
3326,She only,felt,tired.,gutenberg
3327,The old chronicles say,she did not die Until,heavy with years.,gutenberg
3328,And that is why There hangs in the convent,"church a basket Of osiered silver, a holy casket,",And treasured therein A dried snake-skin.,gutenberg
3329,Panels of claret,and blue which shine Under the,moon like lees of wine.,gutenberg
3330,A coronet done in a golden,"scroll, And wheels which blunder and creak as they roll Through",the muddy ruts of a moorland track.,gutenberg
3331,They,daren't,look back!,gutenberg
3332,They are whipping,and cursing the,horses.,gutenberg
3333,What brutes,men are when,they think they're scored.,gutenberg
3334,They are scared,"half out of their wits,",poor souls.,gutenberg
3335,For my lord has a casket,"full of rolls Of minted sovereigns,",and silver bars.,gutenberg
3336,I laugh to,think how he'll show his scars,In London to-morrow.,gutenberg
3337,He whines with,rage In his varnished,cage.,gutenberg
3338,My lady,has shoved her rings over,her toes.,gutenberg
3339,'Tis an ancient,trick every night-rider,knows.,gutenberg
3340,"But I shall relieve her of them yet, When",I see she limps in the minuet I must beg to,"celebrate this night, And the green moonlight.",gutenberg
3341,There's nothing to hurry,"about, the plain Is hours","long, and the mud's a strain.",gutenberg
3342,My gelding's uncommonly,"strong in the loins, In half an",hour I'll bag the coins.,gutenberg
3343,"'Tis a clear,",sweet night on the,turn of Spring.,gutenberg
3344,The,chase is,the thing!,gutenberg
3345,How the coach flashes,"and wobbles, the moon Dripping",down so quietly on it.,gutenberg
3346,A tune Is beating out,"of the curses and screams, And the cracking",all through the painted seams.,gutenberg
3347,"Steady, old","horse, we'll keep",it in sight.,gutenberg
3348,'Tis,a rare fine,night!,gutenberg
3349,There's a clump of trees on,"the dip of the down, And the sky shimmers",where it hangs over the town.,gutenberg
3350,It seems a shame to break the air,"In two with this pistol, but I've my share",Of drudgery like other men.,gutenberg
3351,"Hold up,","you beast, now",what the devil!,gutenberg
3352,Confound this,"moor for a pockholed, evil,",Rotten marsh.,gutenberg
3353,My,right,leg's snapped.,gutenberg
3354,'Tis a mercy,"he's rolled, but I'm nicely",capped.,gutenberg
3355,A broken-legged,man and a,broken-legged horse!,gutenberg
3356,They'll,"get me, of",course.,gutenberg
3357,The cursed coach will reach the town And,"they'll all come out, every loafer grown A",lion to handcuff a man that's down.,gutenberg
3358,"Oh, the",coachman's bulleted,hat!,gutenberg
3359,I'll give,it a head,to fit it pat.,gutenberg
3360,_They handcuffed the body just,"for style, And they hung him in chains for the",volatile Wind to scour him flesh from bones.,gutenberg
3361,Way out on the moor you,can hear the groans His gibbet makes,when it blows a gale.,gutenberg
3362,'Tis a,common,tale.,gutenberg
3363,"_ Paul Jannes was working very late, For",this watch must be done by eight To-morrow or the,Cardinal Would certainly be vexed.,gutenberg
3364,"So they picked his pocket,",And he paid in jewels for his,slobbering kisses.,gutenberg
3365,This watch was made to buy him blisses,"From an Austrian countess on her way Home,",and she meant to start next day.,gutenberg
3366,"Paul worked by the pointed, tulip-flame Of a tallow","candle, and became So absorbed, that his old clock made him",wince Striking the hour a moment since.,gutenberg
3367,"Its echo, only","half apprehended, Lingered",about the room.,gutenberg
3368,"He ended Screwing the little rubies in,","Setting the wheels to lock and spin, Curling the infinitesimal","springs, Fixing the filigree hands.",gutenberg
3369,Chippings Of,precious stones lay,strewn about.,gutenberg
3370,The table before,him was a rout Of splashes,and sparks of coloured light.,gutenberg
3371,There was yellow gold,"in sheets, and quite A heap of","emeralds, and steel.",gutenberg
3372,Here was,"a gem, there was",a wheel.,gutenberg
3373,And glasses lay like limpid lakes Shining and,"still, and there were flakes Of silver, and shavings of pearl, And little",wires all awhirl With the light of the candle.,gutenberg
3374,He took the watch And wound its hands,"about to match The time, then glanced up to",take the hour From the hanging clock.,gutenberg
3375,"Good,",Merciful,Power!,gutenberg
3376,How came that shadow,"on the wall, No woman",was in the room!,gutenberg
3377,His tall Chiffonier,stood gaunt behind,His chair.,gutenberg
3378,His old,"cloak, rabbit-lined,",Hung from a peg.,gutenberg
3379,The,door was,closed.,gutenberg
3380,Just for a,moment he must,have dozed.,gutenberg
3381,"He looked again,",and saw it,plain.,gutenberg
3382,The silhouette made a blue-black stain On,"the opposite wall, and it never wavered Even when the",candle quavered Under his panting breath.,gutenberg
3383,"What made That beautiful, dreadful thing, that","shade Of something so lovely, so exquisite, Cast from a substance which",the sight Had not been tutored to perceive?,gutenberg
3384,Paul brushed,his eyes across,his sleeve.,gutenberg
3385,"Clear-cut, the Shadow on","the wall Gleamed black, and never",moved at all.,gutenberg
3386,"Paul's watches were like amulets, Wrought into","patterns and rosettes; The cases were all set with stones,","And wreathing lines, and shining zones.",gutenberg
3387,"He knew the beauty in a curve, And",the Shadow tortured every nerve With its perfect,rhythm of outline Cutting the whitewashed wall.,gutenberg
3388,So fine Was the neck he,knew he could have spanned It about with,the fingers of one hand.,gutenberg
3389,The lady,was edged with the,stamp of race.,gutenberg
3390,A,singular vision,in such a place.,gutenberg
3391,He moved the candle to,the tall Chiffonier; the,Shadow stayed on the wall.,gutenberg
3392,He threw his cloak upon,"a chair, And still the lady's",face was there.,gutenberg
3393,From every corner,"of the room He saw, in the patch of","light, the gloom That was the lady.",gutenberg
3394,Her violet bloom,Was almost brighter than that,which came From his candle's tulip-flame.,gutenberg
3395,He set the filigree hands; he laid,The watch in the case which he had made; He put on his,"rabbit cloak, and snuffed His candle out.",gutenberg
3396,The room seemed,stuffed With,darkness.,gutenberg
3397,Softly he crossed,"the floor, And let himself",out through the door.,gutenberg
3398,The sun was flashing,"from every pin And wheel,",when Paul let himself in.,gutenberg
3399,The whitewashed,walls were hot,with light.,gutenberg
3400,The room was the core of a,"chrysolite, Burning and shimmering",with fiery might.,gutenberg
3401,The sun was so bright that,no shadow could fall From the furniture,upon the wall.,gutenberg
3402,Paul sighed as he looked at,the empty space Where a glare,usurped the lady's place.,gutenberg
3403,"He settled himself to his work, but his mind Wandered,","and he would wake to find His hand suspended, his eyes grown dim, And",nothing advanced beyond the rim Of his dreaming.,gutenberg
3404,The Cardinal sent to,"pay For his watch, which had purchased",so fine a day.,gutenberg
3405,But Paul could hardly,"touch the gold, It seemed the price","of his Shadow, sold.",gutenberg
3406,With the first twilight he struck a,match And watched the little blue stars hatch Into,an egg of perfect flame.,gutenberg
3407,"He lit his candle,",and almost in shame At his,"eagerness, lifted his eyes.",gutenberg
3408,"The Shadow was there,",and its precise Outline etched,"the cold, white wall.",gutenberg
3409,The young,"man swore, ""By",God!,gutenberg
3410,"You, Paul, There's",something the matter,with your brain.,gutenberg
3411,Go home now,and sleep off,the strain.,gutenberg
3412,""" The next day was","a storm, the rain Whispered",and scratched at the window-pane.,gutenberg
3413,A grey and,shadowless morning filled,The little shop.,gutenberg
3414,"The watches,","chilled, Were dead and sparkless",as burnt-out coals.,gutenberg
3415,The gems lay on the table,"like shoals Of stranded shells, their colours faded, Mere heaps","of stone, dull and degraded.",gutenberg
3416,"Paul's head was heavy,","his hands obeyed No orders,",for his fancy strayed.,gutenberg
3417,His work became a,simple round Of watches repaired,and watches wound.,gutenberg
3418,The slanting ribbons of the,"rain Broke themselves on the window-pane, But Paul",saw the silver lines in vain.,gutenberg
3419,In the morning,he selected all His,perfect jacinths.,gutenberg
3420,"When, at dusk, the",Shadow grew Upon the,"wall, Paul's work was through.",gutenberg
3421,"Holding the watch, he spoke to","her: ""Lady, Beautiful Shadow, stir",Into one brief sign of being.,gutenberg
3422,"Turn your eyes this way, and seeing This watch, made from","those sweet curves Where your hair from your forehead swerves, Accept the gift",which I have wrought With your fairness in my thought.,gutenberg
3423,"Grant me this, and",I shall be Honoured,overwhelmingly.,gutenberg
3424,""" The Shadow rested","black and still, And the wind sighed",over the window-sill.,gutenberg
3425,Topazes ran in a foamy,"stream Over the cover, the hands were studded With","garnets, and seemed red roses, budded.",gutenberg
3426,"The face was of crystal, and engraved","Upon it the figures flashed and waved With zircons,","and beryls, and amethysts.",gutenberg
3427,"It took a week to make,",and his trysts At night with the,Shadow were his alone.,gutenberg
3428,Paul swore,not to speak till his,task was done.,gutenberg
3429,The night that,the jewel was,worthy to give.,gutenberg
3430,Paul watched the long hours of daylight live To the,"faintest streak; then lit his light, And sharp against the wall's pure white",The outline of the Shadow started Into form.,gutenberg
3431,His burning-hearted Words,so long imprisoned swelled To,tumbling speech.,gutenberg
3432,"Like one compelled, He told the lady all","his love, And holding out the watch above His head, he","knelt, imploring some Littlest sign.",gutenberg
3433,The,Shadow,was dumb.,gutenberg
3434,"Weeks passed, Paul worked in fevered","haste, And everything he made he",placed Before his lady.,gutenberg
3435,The Shadow,kept Its perfect,passiveness.,gutenberg
3436,He wooed her with the work,"of his hands, He waited for those dear",commands She never gave.,gutenberg
3437,"No word, no motion,",Eased the ache of his,devotion.,gutenberg
3438,His days passed in a,"strain of toil, His nights burnt up",in a seething coil.,gutenberg
3439,"Seasons shot by,",uncognisant,He worked.,gutenberg
3440,The Shadow,came to haunt Even,his days.,gutenberg
3441,Sometimes quite plain He,saw on the wall the blackberry stain Of,his lady's picture.,gutenberg
3442,No sun was bright,Enough to dazzle that,from his sight.,gutenberg
3443,Then he,would curse Himself,and her!,gutenberg
3444,"And more, the beauty","he could not make, And give her,",for her comfort's sake!,gutenberg
3445,"He would beat his weary, empty hands Upon","the table, would hold up strands Of silver and gold, and ask her",why She scorned the best which he could buy.,gutenberg
3446,He would pray as to,"some high-niched saint, That she would cure him of",the taint Of failure.,gutenberg
3447,He would clutch the wall With his bleeding,"fingers, if she should fall He could catch, and","hold her, and make her live!",gutenberg
3448,With sobs he would,ask her to forgive All,he had done.,gutenberg
3449,"And broken, spent, He would call himself",impertinent; Presumptuous; a tradesman; a nothing;,driven To madness by the sight of Heaven.,gutenberg
3450,"There were days when he wooed as a lover,","sighed In tenderness, spoke to his bride, Urged her to","patience, said his skill Should break the spell.",gutenberg
3451,A man's sworn will,"Could compass life, even","that, he knew.",gutenberg
3452,By,Christ's Blood!,,gutenberg
3453,He,would prove,it true!,gutenberg
3454,The edge of,the Shadow never,blurred.,gutenberg
3455,The lips of the,Shadow never,stirred.,gutenberg
3456,He would climb on chairs,"to reach her lips, And pat her",hair with his finger-tips.,gutenberg
3457,"Then, deadly sick, He would lie in a swoon","for hours, while thick Phantasmagoria crowded his","brain, And his body shrieked in the clutch of pain.",gutenberg
3458,"The crisis passed, he would wake and smile With a vacant","joy, half-imbecile And quite confused, not being certain Why he was suffering; a curtain",Fallen over the tortured mind beguiled His sorrow.,gutenberg
3459,Like a little child He would play with his watches,"and gems, with glee Calling the Shadow to look and see How the spots",on the ceiling danced prettily When he flashed his stones.,gutenberg
3460,"""Mother, the green Has",slid so cunningly in between,The blue and the yellow.,gutenberg
3461,"Oh,",please look,down!,gutenberg
3462,One morning he threw the street door,"wide On coming in, and his vigorous stride Made the",tools on his table rattle and jump.,gutenberg
3463,In his hands he carried a,"new-burst clump Of laurel blossoms, whose smooth-barked",stalks Were pliant with sap.,gutenberg
3464,As a husband talks To,"the wife he left an hour ago,",Paul spoke to the Shadow.,gutenberg
3465,"""Dear, you know To-day the calendar calls","it Spring, And I woke this morning gathering","Asphodels, in my dreams, for you.",gutenberg
3466,So I rushed out to see what flowers blew Their pink-and-purple-scented,"souls Across the town-wind's dusty scrolls, And made the approach to the Market",Square A garden with smells and sunny air.,gutenberg
3467,I feel so well and,"happy to-day, I think I shall",take a Holiday.,gutenberg
3468,And to-night,we will have a,little treat.,gutenberg
3469,I am going,to bring you something,to eat!,gutenberg
3470,""" He looked at",the Shadow,anxiously.,gutenberg
3471,It was,quite grave and,silent.,gutenberg
3472,He Shut the outer,door and came And leant,against the window-frame.,gutenberg
3473,"""Dearest,"" he said, ""we",live apart Although I,bear you in my heart.,gutenberg
3474,We look,out each from a different,world.,gutenberg
3475,At any moment,we may be hurled,Asunder.,gutenberg
3476,They follow their,"orbits, we Obey their laws",entirely.,gutenberg
3477,"Now you must come, or I go there,",Unless we are willing to live the flare Of,a lighted instant and have it gone.,gutenberg
3478,""" A bee in",the laurels began,to drone.,gutenberg
3479,A loosened,petal fluttered,prone.,gutenberg
3480,"""Man grows by eating, if you eat","You will be filled with our life, sweet",Will be our planet in your mouth.,gutenberg
3481,"If not, I must parch in death's wide","drouth Until I gain to where you are, And give you myself",in whatever star May happen.,gutenberg
3482,O You Beloved,of Me!,,gutenberg
3483,Is it,not ordered,cleverly?,gutenberg
3484,""" The Shadow, bloomed","like a plum, and clear,",Hung in the sunlight.,gutenberg
3485,It,did,not hear.,gutenberg
3486,Paul slipped away,as the dusk began To,dim the little shop.,gutenberg
3487,He ran To the nearest,"inn, and chose with care As much",as his thin purse could bear.,gutenberg
3488,"Returning, he brushed his","tools aside, And laid across the table",a wide Napkin.,gutenberg
3489,He put a glass and,"plate On either side,",in duplicate.,gutenberg
3490,"Over the lady's,","excellent With loveliness,",the laurels bent.,gutenberg
3491,In the centre the,"white-flaked pastry stood, And beside",it the wine flask.,gutenberg
3492,Red as blood Was the wine,which should bring the lustihood Of human,life to his lady's veins.,gutenberg
3493,He put meat on her,"plate and filled her glass, And waited",what should come to pass.,gutenberg
3494,The Shadow,lay quietly on,the wall.,gutenberg
3495,From the street outside,"came a watchman's call ""A",cloudy night.,gutenberg
3496,Rain,beginning,to fall.,gutenberg
