,0,1,2,haiku,lang
4594,remballant la crêche,un des rois mages,est manquant,"remballant la crêche
un des rois mages
est manquant",fr
4595,cold moon,a carriage horse trots,up Sixth,"cold moon
a carriage horse trots
up Sixth",en
4596,lune froide,une charette à cheval trotte,en haut de la Sixième,"lune froide
une charette à cheval trotte
en haut de la Sixième",fr
4597,cold moon,the glitter of city lights ,in the river,"cold moon
the glitter of city lights 
in the river",en
4598,lune froide,le scintillement des lumières de la ville,dans le fleuve,"lune froide
le scintillement des lumières de la ville
dans le fleuve",fr
4599,thin crescent,she closes,the curtains,"thin crescent
she closes
the curtains",en
4600,mince croissant,elle ferme,les tentures,"mince croissant
elle ferme
les tentures",fr
4601,whistling kettle,snowflakes,in the wind,"whistling kettle
snowflakes
in the wind",en
4602,la bouilloire siffle,flocons de neige,dans le vent,"la bouilloire siffle
flocons de neige
dans le vent",fr
4603,cold rain,lavender neon surrounds,a sex shop window,"cold rain
lavender neon surrounds
a sex shop window",en
4604,pluie froide,un neon lavande entoure,une fenêtre de sex-shop,"pluie froide
un neon lavande entoure
une fenêtre de sex-shop",fr
4605,twentyfourseven,an empty laundromat,at dawn,"twentyfourseven
an empty laundromat
at dawn",en
4606,24 sur 24 7 sur 7,un lavoir automatique,à l'aube,"24 sur 24 7 sur 7
un lavoir automatique
à l'aube",fr
4607,overtime . . .,through an office window,the harvest moon,"overtime . . .
through an office window
the harvest moon",en
4608,heures sup . . .,à travers la fenêtre du bureau,la lune des moissons,"heures sup . . .
à travers la fenêtre du bureau
la lune des moissons",fr
4609,a night of fireflies,and cricket song . . .,the end of summer,"a night of fireflies
and cricket song . . .
the end of summer",en
4610,une nuit de lucioles,et chant de grillon . . . ,la fin de l'été,"une nuit de lucioles
et chant de grillon . . . 
la fin de l'été",fr
4611,rain on the lake,turning down,the volume,"rain on the lake
turning down
the volume",en
4612,pluie sur le lac,je baisse,le son,"pluie sur le lac
je baisse
le son",fr
4613,where do I,put the accent --,Hiroshima,"where do I
put the accent --
Hiroshima",en
4614,où dois-je,mettre l'accent --,Hiroshima,"où dois-je
mettre l'accent --
Hiroshima",fr
4615,brookside,whales are roaring,in a poem I read,"brookside
whales are roaring
in a poem I read",en
4616,sudden shower,cursing the umbrella,he left at home,"sudden shower
cursing the umbrella
he left at home",en
4617,pluie soudaine,maudire le parapluie,laissé à la maison,"pluie soudaine
maudire le parapluie
laissé à la maison",fr
4618,mother's day,something sexy,for his wife,"mother's day
something sexy
for his wife",en
4619,fête des mères,quelque chose de sexy,pour sa femme,"fête des mères
quelque chose de sexy
pour sa femme",fr
4620,war news,I wash the ink,from my fingers,"war news
I wash the ink
from my fingers",en
4621,nouvelles de la guerre,je lave l'encre,qui est sur mes doigts,"nouvelles de la guerre
je lave l'encre
qui est sur mes doigts",fr
4622,rainy night,a light in,the bookstore window,"rainy night
a light in
the bookstore window",en
4623,nuit pluvieuse,une lumière,à la fenêtre de la librairie,"nuit pluvieuse
une lumière
à la fenêtre de la librairie",fr
4624,wiping his eyes ,before the lights come up-,sad movie,"wiping his eyes 
before the lights come up-
sad movie",en
4625,essuyant ses yeux,avant que les lumières ne reviennent --,un film triste,"essuyant ses yeux
avant que les lumières ne reviennent --
un film triste",fr
4626,winter sunset,shadows of branches,climb the fire escape,"winter sunset
shadows of branches
climb the fire escape",en
4627,coucher de soleil d'hiver,les ombres des branches,grimpe l'escalier d'incendie,"coucher de soleil d'hiver
les ombres des branches
grimpe l'escalier d'incendie",fr
4628,January walk,Santa Claus and a flag,in a neighbor's window,"January walk
Santa Claus and a flag
in a neighbor's window",en
4629,promenade de janvier,Santa Claus et un drapeau,à la fenêtre d'un voisin,"promenade de janvier
Santa Claus et un drapeau
à la fenêtre d'un voisin",fr
4630,my friend's ashes,heavier than I expected,winter wind,"my friend's ashes
heavier than I expected
winter wind",en
4631,les cendres de mon ami,plus lourdes que je ne pensais,vent d'hiver,"les cendres de mon ami
plus lourdes que je ne pensais
vent d'hiver",fr
4632,home for a visit,the sound of rain,on the river,"home for a visit
the sound of rain
on the river",en
4633,(visite à ma maison natale,le son de la pluie,sur la rivière),"(visite à ma maison natale
le son de la pluie
sur la rivière)",fr
4634,low mass,the old priest believes,more than he remembers,"low mass
the old priest believes
more than he remembers",en
4635,messe basse,le vieux prêtre croit ,plus qu'il ne se souvient,"messe basse
le vieux prêtre croit 
plus qu'il ne se souvient",fr
4636,new year's party,the divorced couple,leaves together,"new year's party
the divorced couple
leaves together",en
4637,soirée de nouvel an,le couple divorcé,quitte ensemble,"soirée de nouvel an
le couple divorcé
quitte ensemble",fr
4638,midwinter,the coffee drinker,sips tea,"midwinter
the coffee drinker
sips tea",en
4639,milieu de l'hiver,le buveur de café,sirote du thé,"milieu de l'hiver
le buveur de café
sirote du thé",fr
4640,morning rush,reading Walden,on the subway,"morning rush
reading Walden
on the subway",en
4641,(heure de pointe du matin,lire Walden,dans le metro),"(heure de pointe du matin
lire Walden
dans le metro)",fr
4642,election day,revising the poem,one more time,"election day
revising the poem
one more time",en
4643,jour d'élection,revoir le poème,une fois de plus,"jour d'élection
revoir le poème
une fois de plus",fr
4644,fog moving in,another phone call,unreturned,"fog moving in
another phone call
unreturned",en
4645,le brouillard entre,un autre appel téléphonique,non répondu,"le brouillard entre
un autre appel téléphonique
non répondu",fr
4646,summer rain,my umbrella,stays closed,"summer rain
my umbrella
stays closed",en
4647,pluie d'été,mon parapluie,reste fermé,"pluie d'été
mon parapluie
reste fermé",fr
4648,early summer,old women in the shade,of the bus shelter,"early summer
old women in the shade
of the bus shelter",en
4649,début d'été,des vieilles femmes dans l'ombre,de l'abribus,"début d'été
des vieilles femmes dans l'ombre
de l'abribus",fr
4650,a boy and his dad,playing catch out back . . .,long shadows,"a boy and his dad
playing catch out back . . .
long shadows",en
4651,main street-,ribbons that used to be,yellow,"main street-
ribbons that used to be
yellow",en
4652,rue principale --,des rubans qui ont du être,jaunes,"rue principale --
des rubans qui ont du être
jaunes",fr
4653,terminal . . . ,his favorite ice cream ,melts in the cup,"terminal . . . 
his favorite ice cream 
melts in the cup",en
4654,phase terminale . . .,sa crême glace favorite,fond dans la coupe,"phase terminale . . .
sa crême glace favorite
fond dans la coupe",fr
4655,spring morning,those young men have noticed ,what she's not wearing,"spring morning
those young men have noticed 
what she's not wearing",en
4656,matin de printemps,ces jeunes hommes ont remarqué,ce qu'elle ne portait pas,"matin de printemps
ces jeunes hommes ont remarqué
ce qu'elle ne portait pas",fr
4657,old western --,black hats white hats ,in shades of gray,"old western --
black hats white hats 
in shades of gray",en
4658,vieux western --,chapeaux noirs chapeaux blancs,en teintes de gris,"vieux western --
chapeaux noirs chapeaux blancs
en teintes de gris",fr
4659,spring rain,a man standing outside,the bus shelter,"spring rain
a man standing outside
the bus shelter",en
4660,pluie de printemps,un homme debout au dehors,de l'abribus,"pluie de printemps
un homme debout au dehors
de l'abribus",fr
4661,snowflakes,a robin's flight,from tree to tree,"snowflakes
a robin's flight
from tree to tree",en
4662,flocons,un vol de rouge-gorge,d'arbre en arbre,"flocons
un vol de rouge-gorge
d'arbre en arbre",fr
4663,serving coffee,she asks if I take cream,the curve of her wrist,"serving coffee
she asks if I take cream
the curve of her wrist",en
4664,alors qu'elle sert du café,elle demande si je prends de la crême,la courbe de son poignet,"alors qu'elle sert du café
elle demande si je prends de la crême
la courbe de son poignet",fr
4665,waiting for you,at the sidewalk cafe,half moon,"waiting for you
at the sidewalk cafe
half moon",en
4666,t'attendant,à la terrasse d'un café,demi lune,"t'attendant
à la terrasse d'un café
demi lune",fr
4667,chemotherapy-,she always liked the way,I kissed her hair,"chemotherapy-
she always liked the way
I kissed her hair",en
4668,chimiothérapie --,elle aimait toujours ma façon,d'embrasser ses cheveux,"chimiothérapie --
elle aimait toujours ma façon
d'embrasser ses cheveux",fr
4669,undulation,of a faded flag-,autumn afternoon,"undulation
of a faded flag-
autumn afternoon",en
4670,ondulation,d'un drapeau décoloré --,après-midi d'automne,"ondulation
d'un drapeau décoloré --
après-midi d'automne",fr
4671,streetlight,my shadow growing,fading,"streetlight
my shadow growing
fading",en
4672,réverbère,mon ombre qui grandit,qui s'estompe,"réverbère
mon ombre qui grandit
qui s'estompe",fr
4673,do I know you --,my young face looks to me,from an old photo,"do I know you --
my young face looks to me
from an old photo",en
4674,torn shades,of dilapidated house,crocus blooming blue,"torn shades
of dilapidated house
crocus blooming blue",en
4675,les couleurs defraîchies,de la maison délabrée,crocus fleurissant en bleu ,"les couleurs defraîchies
de la maison délabrée
crocus fleurissant en bleu ",fr
4676,from train depot,multicolored umbrellas,streaming along misty streets,"from train depot
multicolored umbrellas
streaming along misty streets",en
4677,(de la gare terminale,des parapluies multicolores,ruissellent dans les rues brumeuses) ,"(de la gare terminale
des parapluies multicolores
ruissellent dans les rues brumeuses) ",fr
4678,between pages,a frayed recipe,in my mother's hand ,"between pages
a frayed recipe
in my mother's hand ",en
4679,from basement window,the underside of sunflowers,striped deep-colored veins,"from basement window
the underside of sunflowers
striped deep-colored veins",en
4680,de la fenêtre du sous-sol,le dessous des tournesols,veines rayées de couleur foncée ,"de la fenêtre du sous-sol
le dessous des tournesols
veines rayées de couleur foncée ",fr
4681,before we crest,the sand dune’s tip,the question …,"before we crest
the sand dune’s tip
the question …",en
4682,avant que nous ne passions,la crête de la dune de sable,la question .... ,"avant que nous ne passions
la crête de la dune de sable
la question .... ",fr
4683,it’s only a tree,it’s only my horizon— ,rip of a chain saw ,"it’s only a tree
it’s only my horizon— 
rip of a chain saw ",en
4684,helicopter seeds,crash land—,graduation day ,"helicopter seeds
crash land—
graduation day ",en
4685,my mother in the mirror,dividing my hair,for braiding,"my mother in the mirror
dividing my hair
for braiding",en
4686,ma mère dans le miroir,divisant mes cheveux,pour le tressage ,"ma mère dans le miroir
divisant mes cheveux
pour le tressage ",fr
4687,she drank,to remember,why she wears lipstick,"she drank
to remember
why she wears lipstick",en
4688,elle boit,pour se souvenir,pourquoi elle porte du rouge aux lèvres ,"elle boit
pour se souvenir
pourquoi elle porte du rouge aux lèvres ",fr
4689,mid-autumn,our kitchen windows fog up,as the sauce simmers,"mid-autumn
our kitchen windows fog up
as the sauce simmers",en
4690,mi-automne,nos fenêtres de cuisine s'embuent,alors que la sauce mijote ,"mi-automne
nos fenêtres de cuisine s'embuent
alors que la sauce mijote ",fr
4691,pausing between,rain showers—,summer solstice,"pausing between
rain showers—
summer solstice",en
4692,une pause entre,les averses de pluie —,solstice d'été ,"une pause entre
les averses de pluie —
solstice d'été ",fr
4693,left to simmer,the kettle shrieks,until answered,"left to simmer
the kettle shrieks
until answered",en
4694,laissée à mijoter,les pleurs de la bouilloire,jusqu'à ce qu'on lui ai répondu ,"laissée à mijoter
les pleurs de la bouilloire
jusqu'à ce qu'on lui ai répondu ",fr
4695,slice by slice,the pie disappears—,blueberry stains,"slice by slice
the pie disappears—
blueberry stains",en
4696,tranche par tranche,la tarte disparaît—,des taches de myrtilles ,"tranche par tranche
la tarte disparaît—
des taches de myrtilles ",fr
4697,lunar eclipse,the weight of ,another’s shadow,"lunar eclipse
the weight of 
another’s shadow",en
4698,éclipse de lune,le poids,d'un autre ombre ,"éclipse de lune
le poids
d'un autre ombre ",fr
4699,the burnt-out ,apple tree blooms,rain drops,"the burnt-out 
apple tree blooms
rain drops",en
4700,le burnt-out,fleurs de pommiers,gouttes de pluie ,"le burnt-out
fleurs de pommiers
gouttes de pluie ",fr
4701,that shade of green--,the first fireflies clenched,in small hands,"that shade of green--
the first fireflies clenched
in small hands",en
4702,cette nuance de vert --,les premières lucioles serrées,dans de petites mains ,"cette nuance de vert --
les premières lucioles serrées
dans de petites mains ",fr
4703,tube station ...,the homeless man still,in yesterday's news,"tube station ...
the homeless man still
in yesterday's news",en
4704,station de metro ...,le sans-abri encore,dans les nouvelles d'hier ,"station de metro ...
le sans-abri encore
dans les nouvelles d'hier ",fr
4705,city traffic,ants in and out,of a sparrow,"city traffic
ants in and out
of a sparrow",en
4706,trafic urbain,des fourmis entrent et sortent,d'un moineau ,"trafic urbain
des fourmis entrent et sortent
d'un moineau ",fr
4707,shaking the stone from her shoe -,a white opal swings,from between her brown breasts,"shaking the stone from her shoe -
a white opal swings
from between her brown breasts",en
4708,secouant la pierre de sa chaussure -,une opale blanche se balance,entre ses seins sombres ,"secouant la pierre de sa chaussure -
une opale blanche se balance
entre ses seins sombres ",fr
4709,one hundred views,of the sunrise -,appartment block,"one hundred views
of the sunrise -
appartment block",en
4710,une centaine de vues,du coucher de soleil --,immeuble à appartements,"une centaine de vues
du coucher de soleil --
immeuble à appartements",fr
4711,winter twilight -,she studies the face,in her mirror,"winter twilight -
she studies the face
in her mirror",en
4712,crépuscule d'hiver --,elle étudie le visage,dans son miroir,"crépuscule d'hiver --
elle étudie le visage
dans son miroir",fr
4713,just one more page,before I sleep...,endless rain,"just one more page
before I sleep...
endless rain",da
4714,juste une page de plus,avant de dormir...,pluie sans fin,"juste une page de plus
avant de dormir...
pluie sans fin",fr
4715,winter rain...,she places his flowers,in the second-best vase,"winter rain...
she places his flowers
in the second-best vase",en
4716,(pluie d'hiver...,elle place ses fleurs,dans son second meilleur vase),"(pluie d'hiver...
elle place ses fleurs
dans son second meilleur vase)",fr
4717,fading light -,a red leaf bouquet,at the smallest grave,"fading light -
a red leaf bouquet
at the smallest grave",en
4718,la lumière décline --,un bouquet de feuilles rouges,sur la plus petite tombe,"la lumière décline --
un bouquet de feuilles rouges
sur la plus petite tombe",fr
4719,spring rain -,as the doctor speaks,i think of lilacs,"spring rain -
as the doctor speaks
i think of lilacs",en
4720,pluie de printemps --,alors que le docteur parle,je pense aux lilas,"pluie de printemps --
alors que le docteur parle
je pense aux lilas",fr
4721,false dawn,sometimes i still,think of home,"false dawn
sometimes i still
think of home",en
4722,une aube incertaine,parfois je pense encore,à la maison,"une aube incertaine
parfois je pense encore
à la maison",fr
4723,first frost -,a twirl of yellow leaves,as the bus passes,"first frost -
a twirl of yellow leaves
as the bus passes",en
4724,premier givre --,un tourbillon de feuilles jaunes,comme le bus passe,"premier givre --
un tourbillon de feuilles jaunes
comme le bus passe",fr
4725,plasma tv -,in high resolution,the homeless man's face,"plasma tv -
in high resolution
the homeless man's face",en
4726,écran TV plat --,en haute résolution,le visage du sans-abri,"écran TV plat --
en haute résolution
le visage du sans-abri",fr
4727,sparrow song--,two ladies on the verandah,just before the rain,"sparrow song--
two ladies on the verandah
just before the rain",en
4728,le chant des moineaux --,deux dames sous la veranda,juste avant la pluie,"le chant des moineaux --
deux dames sous la veranda
juste avant la pluie",fr
4729,summer wind,the blue jay's reflection,in the birdbath,"summer wind
the blue jay's reflection
in the birdbath",en
4730,vent d'été,le reflet bleu du geai,dans le bain des oiseaux,"vent d'été
le reflet bleu du geai
dans le bain des oiseaux",fr
4731,a drunk asleep,on the beach--his mouth,open to the sky,"a drunk asleep
on the beach--his mouth
open to the sky",en
4732,un ivrogne endormi,sur la plage - sa bouche,ouverte sur le ciel ,"un ivrogne endormi
sur la plage - sa bouche
ouverte sur le ciel ",fr
4733,the ant,wanders across the floor . . .,meditation room,"the ant
wanders across the floor . . .
meditation room",en
4734,la fourmi,déambule sur le sol . . . ,salle de méditation ,"la fourmi
déambule sur le sol . . . 
salle de méditation ",fr
4735,family reunion,I stir tea,with a fork,"family reunion
I stir tea
with a fork",en
4736,réunion de famille,je mélange le thé,avec une fourchette ,"réunion de famille
je mélange le thé
avec une fourchette ",fr
4737,first snow--,sour cream drops ,in the borsch,"first snow--
sour cream drops 
in the borsch",en
4738,première neige --,des gouttes de crème aigre,dans le borsch ,"première neige --
des gouttes de crème aigre
dans le borsch ",fr
4739,summer moon,visits the attic and touches,father's journal ,"summer moon
visits the attic and touches
father's journal ",en
4740,subway to work ,the scent of meditation,on my sweater,"subway to work 
the scent of meditation
on my sweater",en
4741,metro vers le travail,l’odeur de la méditation,sur mon pull ,"metro vers le travail
l’odeur de la méditation
sur mon pull ",fr
4742,birth certificate—,water damage,on my name,"birth certificate—
water damage
on my name",en
4743,certificat de naissance—,abimé par l'eau,sur mon nom ,"certificat de naissance—
abimé par l'eau
sur mon nom ",fr
4745,in the space,of an om . . .,countless raindrops,"in the space
of an om . . .
countless raindrops",en
4746,dans l'espace,d'un om . . . ,d'innombrables gouttes de pluie ,"dans l'espace
d'un om . . . 
d'innombrables gouttes de pluie ",fr
4747,echoing,in the cup . . .,winter prayers,"echoing
in the cup . . .
winter prayers",en
4748,faisant écho,dans la tasse. . . ,des prières d'hiver ,"faisant écho
dans la tasse. . . 
des prières d'hiver ",fr
4749,subway air . . .,my wife and I talk,about adoption,"subway air . . .
my wife and I talk
about adoption",en
4750,l'air du metro . . . ,ma femme et moi parlons,d'adoption ,"l'air du metro . . . 
ma femme et moi parlons
d'adoption ",fr
4751,pranayama—,the candle goes out,as it lights another,"pranayama—
the candle goes out
as it lights another",en
4752,(pranayama—,la bougie s'éteint,alors qu'elle allume une autre) ,"(pranayama—
la bougie s'éteint
alors qu'elle allume une autre) ",fr
4753,midnight . . .,scent of the incense stick,burning itself,"midnight . . .
scent of the incense stick
burning itself",en
4754,minuit . . . ,l'odeur de bâtonnet d'encens,se consumant ,"minuit . . . 
l'odeur de bâtonnet d'encens
se consumant ",fr
4755,subway transfer,the homeless lady,sells mirrors,"subway transfer
the homeless lady
sells mirrors",en
4756,couloir de metro,la sans -abri,vend des miroirs ,"couloir de metro
la sans -abri
vend des miroirs ",fr
4757,between two,decrepit buildings—,poplar in late evening light,"between two
decrepit buildings—
poplar in late evening light",en
4758,entre deux,immeubles décrépits—,un peuplier dans la lumière de fin du jour ,"entre deux
immeubles décrépits—
un peuplier dans la lumière de fin du jour ",fr
4759,death anniversary—,a curl of incense smoke,stuck on the ceiling,"death anniversary—
a curl of incense smoke
stuck on the ceiling",en
4760,anniversaire de décès—,une volute de fumée d'encens,contre le plafond ,"anniversaire de décès—
une volute de fumée d'encens
contre le plafond ",fr
4761,I watch someone,watch someone else,the promise of rain,"I watch someone
watch someone else
the promise of rain",en
4762,J'observe quelqu'un,qui observe quelqu'un d'autre,la promesse de la pluie ,"J'observe quelqu'un
qui observe quelqu'un d'autre
la promesse de la pluie ",fr
4763,bare hill—,broken glass sparkling,where the sun moves,"bare hill—
broken glass sparkling
where the sun moves",en
4764,colline nue—,du verre brisé étincelle,où le soleil se déplace ,"colline nue—
du verre brisé étincelle
où le soleil se déplace ",fr
4765,summer storm . . .,I push the beetle,back on its feet,"summer storm . . .
I push the beetle
back on its feet",en
4766,orage d'été . . .,je remets le scarabée,sur ses pattes ,"orage d'été . . .
je remets le scarabée
sur ses pattes ",fr
4767,predawn,a grey dove outside,my window,"predawn
a grey dove outside
my window",en
4768,juste avant l'aube,une colombe grise au dehors,sur ma fenêtre,"juste avant l'aube
une colombe grise au dehors
sur ma fenêtre",fr
4769,solstice,a shaft of sunlight,through rock,"solstice
a shaft of sunlight
through rock",en
4770,(solstice,un puits de lumière du soleil,dans le roc),"(solstice
un puits de lumière du soleil
dans le roc)",fr
4771,rainburst--,thoughts of you,fading,"rainburst--
thoughts of you
fading",en
4772,(la pluie éclate --,des pensées de toi,s'effaçant ),"(la pluie éclate --
des pensées de toi
s'effaçant )",fr
4773,straw hat -,flowers fading,under the sun,"straw hat -
flowers fading
under the sun",en
4774,chapeau de paille -,les fleurs fanent,sous le soleil,"chapeau de paille -
les fleurs fanent
sous le soleil",fr
4775,Spring rain-,I sit looking,out the window,"Spring rain-
I sit looking
out the window",en
4776,pluie de printemps --,assis je regarde,par la fenêtre,"pluie de printemps --
assis je regarde
par la fenêtre",fr
4777,cold nose,burrow of warm flannel -,morning light,"cold nose
burrow of warm flannel -
morning light",en
4778,nez froid,terrier de flanelle chaude -,lumière du matin,"nez froid
terrier de flanelle chaude -
lumière du matin",fr
4779,cool night air,city noises fade away,memories,"cool night air
city noises fade away
memories",en
4780,air froid de la nuit,les bruits de la ville estompent,les souvenirs ,"air froid de la nuit
les bruits de la ville estompent
les souvenirs ",fr
4781,cool night air,folding chair,meditations,"cool night air
folding chair
meditations",en
4782,air froid de la nuit,pliant la chaise,meditations ,"air froid de la nuit
pliant la chaise
meditations ",fr
4783,market day,hot tired shoppers,wait for the free bus,"market day
hot tired shoppers
wait for the free bus",en
4784,jour de marché,les acheteurs fatiigués de la chaleur,attendent le bus gratuit ,"jour de marché
les acheteurs fatiigués de la chaleur
attendent le bus gratuit ",fr
4785,call to prayer,roosters too,fresh morning air,"call to prayer
roosters too
fresh morning air",en
4786,appel à la prière,les coqs aussi,air frais du matin ,"appel à la prière
les coqs aussi
air frais du matin ",fr
4787,dog barks,somebody starts their car,summer's morning light,"dog barks
somebody starts their car
summer's morning light",en
4788,les chiens aboyent,quelqu'un démarre son auto,lumière d'un matin d'été ,"les chiens aboyent
quelqu'un démarre son auto
lumière d'un matin d'été ",fr
4789,memorial day weekend,watering plants,remembering ,"memorial day weekend
watering plants
remembering ",af
4790,deer carcass,alongside the highway,silently accepts the rainstorm,"deer carcass
alongside the highway
silently accepts the rainstorm",en
4791,carcasse de daim,en bord d'autoroute,supporte en silence la pluie d'orage ,"carcasse de daim
en bord d'autoroute
supporte en silence la pluie d'orage ",fr
4792,is spring coming,bombs raining down,on tripoli on aljazeera,"is spring coming
bombs raining down
on tripoli on aljazeera",en
4793,est-ce le printemps arrive,il pleut des bombes,"sur tripoli, sur aljazeera ","est-ce le printemps arrive
il pleut des bombes
sur tripoli, sur aljazeera ",fr
4794,winter sesshin,in the kitchen,my cracked teacup,"winter sesshin
in the kitchen
my cracked teacup",en
4795,sesshin d'hiver,dans ma cuisine,ma tasse à thé craquelée ,"sesshin d'hiver
dans ma cuisine
ma tasse à thé craquelée ",fr
4796,after winter sesshin,sharing tea,silence,"after winter sesshin
sharing tea
silence",en
4797,après sesshin d'hiver,partager le thé,silence ,"après sesshin d'hiver
partager le thé
silence ",fr
4798,winter's cold,dreaming,of my ex-wife,"winter's cold
dreaming
of my ex-wife",en
4799,froid de l'hiver,rêver,à mon ex-femme ,"froid de l'hiver
rêver
à mon ex-femme ",fr
4800,the sulphuric scent,of winter coal,out for a walk,"the sulphuric scent
of winter coal
out for a walk",en
4801,l'odeur sulphureuse,du charbon d'hiver,sorti pour une promenade ,"l'odeur sulphureuse
du charbon d'hiver
sorti pour une promenade ",fr
4802,sometimes,sunny sundays in november,are unfair,"sometimes
sunny sundays in november
are unfair",en
4803,(des fois,les dimanches ensoleillés de novembre,sont déloyaux) ,"(des fois
les dimanches ensoleillés de novembre
sont déloyaux) ",fr
4804,sunny sunday in november,half assembled shelves,wait in the kitchen,"sunny sunday in november
half assembled shelves
wait in the kitchen",en
4805,dimanche ensoleillé de novembre,les étagères a demi assemblées,attendent dans la cuisine ,"dimanche ensoleillé de novembre
les étagères a demi assemblées
attendent dans la cuisine ",fr
4806,sunday in autumn,neighbor needs money,for her cancer meds,"sunday in autumn
neighbor needs money
for her cancer meds",en
4807,dimanche en automne,ma voisine a besoin d'argent,pour ses anticancereux ,"dimanche en automne
ma voisine a besoin d'argent
pour ses anticancereux ",fr
4808,november email,remembering sycamores,outside the window,"november email
remembering sycamores
outside the window",en
4809,email de novembre,je me rappelle les sycomores,par la fenêtre ,"email de novembre
je me rappelle les sycomores
par la fenêtre ",fr
4810,october over,listening to heavy rain,call to prayer,"october over
listening to heavy rain
call to prayer",en
4811,octobre est fini,j'écoute la pluie lourde,appel à la prière ,"octobre est fini
j'écoute la pluie lourde
appel à la prière ",fr
4812,heavy steady rain,back pain,skipped friday prayer,"heavy steady rain
back pain
skipped friday prayer",en
4813,pluie lourde et continue,mal de dos,sauté la prière du vendredi ,"pluie lourde et continue
mal de dos
sauté la prière du vendredi ",fr
4814,heavy steady rain,through windows through wet trees,the lake in the rain,"heavy steady rain
through windows through wet trees
the lake in the rain",en
4815,lourde pluie continue,"à travers les fenêtres, les arbres mouillés",le lac dans la pluie ,"lourde pluie continue
à travers les fenêtres, les arbres mouillés
le lac dans la pluie ",fr
4816,passover,moon,through the bare branches,"passover
moon
through the bare branches",en
4817,Pâque juive,la lune,entre les branches nues ,"Pâque juive
la lune
entre les branches nues ",fr
4818,The Holy Land,no heat no food no water,craters,"The Holy Land
no heat no food no water
craters",en
4819,la Terre Sainte,sans chaleur sans nourriture sans eau,cratères ,"la Terre Sainte
sans chaleur sans nourriture sans eau
cratères ",fr
4820,new fire old coals,in the old stove,new year,"new fire old coals
in the old stove
new year",en
4821,(nouveau feu vieux charbon,dans le vieux poële,année nouvelle) ,"(nouveau feu vieux charbon
dans le vieux poële
année nouvelle) ",fr
4822,rainstorm,guests huddle with candles,waiting for dinner,"rainstorm
guests huddle with candles
waiting for dinner",en
4823,trombe d'eau,les invités se regroupent avec des bougies,attendant le dinner,"trombe d'eau
les invités se regroupent avec des bougies
attendant le dinner",fr
4824,after an hour of rain,the crickets,all seem happy,"after an hour of rain
the crickets
all seem happy",en
4825,après une heure de pluie,les grillons,semblent tous heureux,"après une heure de pluie
les grillons
semblent tous heureux",fr
4826,kumquats with Russian tea,then slowly,I undress Ellen,"kumquats with Russian tea
then slowly
I undress Ellen",en
4827,kumquats avec du thé russe,alors lentement,je déshabille Ellen,"kumquats avec du thé russe
alors lentement
je déshabille Ellen",fr
4828,in the hyacinth garden,I sneak a kiss,between Jimmy's lips,"in the hyacinth garden
I sneak a kiss
between Jimmy's lips",en
4829,dans le jardin de jacinthes,un baiser furtif,entre les lèvres de Jimmy,"dans le jardin de jacinthes
un baiser furtif
entre les lèvres de Jimmy",fr
4830,September 11th,steady slow soft,rain,"September 11th
steady slow soft
rain",en
4831,11 septembre,douce lente continue,la pluie,"11 septembre
douce lente continue
la pluie",fr
4832,full moon,full ripe figs,end of summer,"full moon
full ripe figs
end of summer",en
4833,pleine lune,des figues très mûres,fin de l'été,"pleine lune
des figues très mûres
fin de l'été",fr
4834,solstice,after the last match,the last call to prayer,"solstice
after the last match
the last call to prayer",en
4835,solstice,après le dernier match,le dernier appel à la prière,"solstice
après le dernier match
le dernier appel à la prière",fr
4836,spring,full moon,new roses,"spring
full moon
new roses",en
4837,printemps,pleine lune,roses nouvelles,"printemps
pleine lune
roses nouvelles",fr
4838,all night long on the veranda,drinking tea and talking,about God and our new parrot,"all night long on the veranda
drinking tea and talking
about God and our new parrot",en
4839,toute la nuit dans la veranda,je bois du thé et parle,de Dieu et de notre nouveau perroquet,"toute la nuit dans la veranda
je bois du thé et parle
de Dieu et de notre nouveau perroquet",fr
4840,"Right, left",The flash of the float plane's light,Rain on the forest ,"Right, left
The flash of the float plane's light
Rain on the forest ",en
4841,the crunch,of the first leaf,a sweet sigh,"the crunch
of the first leaf
a sweet sigh",en
4842,le crissement,de la première feuille,un doux soupir ,"le crissement
de la première feuille
un doux soupir ",fr
4843,the sound,of the first fallen leaf,this Autumn day,"the sound
of the first fallen leaf
this Autumn day",en
4844,le bruit,de la première chute de feuille,ce jour d'automne ,"le bruit
de la première chute de feuille
ce jour d'automne ",fr
4845,2 am,rain and wind on the island,another insomnia night,"2 am
rain and wind on the island
another insomnia night",en
4846,2 h du matin,pluie et vent sur l'île,une autre nuit d'insomnie ,"2 h du matin
pluie et vent sur l'île
une autre nuit d'insomnie ",fr
4847,Soft rain,her thoughts of lost love,intrude into her day,"Soft rain
her thoughts of lost love
intrude into her day",en
4848,Pluie douce,ses souvenirs d'un amour perdu,s'immiscent dans sa journée ,"Pluie douce
ses souvenirs d'un amour perdu
s'immiscent dans sa journée ",fr
4849,He looks at her,underlying chill in the air,smell of rain,"He looks at her
underlying chill in the air
smell of rain",en
4850,(Il la regarde,fraïcheur de l'air,odeur de pluie) ,"(Il la regarde
fraïcheur de l'air
odeur de pluie) ",fr
